QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 30
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
		Population 2
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.93 	ga1: 6.69 	ga2: 0.00 	ga3: 0.31 	ga4: 0.12 	ga5: 0.25 	ga6: 0.20 	ga7: 0.26 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.41 	gb1: 0.32 	gb2: 0.76 	gb3: 0.82 	gb4: 0.85 	gb5: 0.83 	gb6: 0.68 	gb7: 0.71 	gb8: 0.30 	gb9: 0.13 	gb10: -2.64 	gb11: 2.72 	gb12: 0.31 	gb13: 0.77 	gb14: 1.21 	gb15: 2.29 	gb16: 1.82 	gb17: -0.61 	gb18: -2.16 	gb19: -1.02
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.74 	ga1: 6.54 	ga2: 0.01 	ga3: 0.31 	ga4: 0.24 	ga5: 0.18 	ga6: 0.00 	ga7: 0.26 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.05 	gb0: 0.72 	gb1: 0.14 	gb2: 0.59 	gb3: 0.59 	gb4: 0.44 	gb5: 0.92 	gb6: 0.45 	gb7: 0.90 	gb8: 0.87 	gb9: 0.36 	gb10: -3.67 	gb11: -2.73 	gb12: -2.73 	gb13: 2.28 	gb14: -2.00 	gb15: 1.19 	gb16: -2.92 	gb17: 3.22 	gb18: 1.91 	gb19: 1.89
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.30 	ga1: 6.71 	ga2: 0.00 	ga3: 0.31 	ga4: 0.00 	ga5: 0.00 	ga6: 0.76 	ga7: 0.26 	ga8: 0.00 	ga9: 0.18 	ga10: 0.00 	ga11: 0.00 	gb0: 0.33 	gb1: 0.77 	gb2: 0.73 	gb3: 0.30 	gb4: 0.33 	gb5: 0.69 	gb6: 0.26 	gb7: 0.20 	gb8: 0.30 	gb9: 0.88 	gb10: -1.03 	gb11: 2.02 	gb12: -0.25 	gb13: -0.46 	gb14: 3.54 	gb15: -0.45 	gb16: -1.50 	gb17: 3.59 	gb18: -2.14 	gb19: -2.37
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.59 	ga1: 7.38 	ga2: 0.62 	ga3: 0.31 	ga4: 0.53 	ga5: 0.00 	ga6: 0.00 	ga7: 0.26 	ga8: 0.00 	ga9: 0.14 	ga10: 0.00 	ga11: 0.00 	gb0: 0.48 	gb1: 0.40 	gb2: 0.16 	gb3: 0.53 	gb4: 0.32 	gb5: 0.24 	gb6: 0.50 	gb7: 0.31 	gb8: 0.70 	gb9: 0.45 	gb10: 1.33 	gb11: 0.84 	gb12: -1.81 	gb13: -3.99 	gb14: -2.17 	gb15: 2.39 	gb16: -1.89 	gb17: 0.69 	gb18: 3.06 	gb19: 1.97
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.80 	ga1: 6.45 	ga2: 0.00 	ga3: 0.31 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.26 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.58 	gb1: 0.70 	gb2: 0.07 	gb3: 0.36 	gb4: 0.44 	gb5: 0.47 	gb6: 0.57 	gb7: 0.59 	gb8: 0.53 	gb9: 0.39 	gb10: 2.65 	gb11: -1.08 	gb12: 3.69 	gb13: -2.66 	gb14: -0.07 	gb15: 0.54 	gb16: 1.79 	gb17: -0.43 	gb18: 0.31 	gb19: 2.52
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.96 	ga1: 6.86 	ga2: 0.05 	ga3: 0.31 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.26 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.63 	gb1: 0.88 	gb2: 0.18 	gb3: 0.21 	gb4: 0.14 	gb5: 0.72 	gb6: 0.19 	gb7: 0.39 	gb8: 0.50 	gb9: 0.45 	gb10: -1.69 	gb11: -0.45 	gb12: 0.20 	gb13: 2.89 	gb14: -1.94 	gb15: 4.41 	gb16: 0.21 	gb17: -3.57 	gb18: -2.00 	gb19: -1.73
			Robot 6 	f: 435.94 	mf: 392.33 	ga0: 0.08 	ga1: 8.09 	ga2: 0.00 	ga3: 0.58 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.26 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.41 	gb1: 0.23 	gb2: 0.13 	gb3: 0.60 	gb4: 0.31 	gb5: 0.48 	gb6: 0.11 	gb7: 0.31 	gb8: 0.74 	gb9: 0.13 	gb10: -0.89 	gb11: 1.99 	gb12: -2.64 	gb13: 1.99 	gb14: -2.39 	gb15: -2.22 	gb16: -3.47 	gb17: -0.67 	gb18: -2.26 	gb19: -1.47
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.61 	ga1: 2.91 	ga2: 0.00 	ga3: 0.31 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.26 	ga8: 0.30 	ga9: 0.58 	ga10: 0.00 	ga11: 0.00 	gb0: 0.51 	gb1: 0.43 	gb2: 0.28 	gb3: 0.72 	gb4: 0.19 	gb5: 0.78 	gb6: 0.55 	gb7: 0.66 	gb8: 0.50 	gb9: 0.58 	gb10: 3.25 	gb11: -2.71 	gb12: -0.88 	gb13: 1.44 	gb14: -0.07 	gb15: 2.16 	gb16: -3.86 	gb17: 2.14 	gb18: -0.33 	gb19: 3.06
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.50 	ga1: 4.86 	ga2: 0.13 	ga3: 0.43 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.26 	ga8: 0.02 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.18 	gb1: 0.79 	gb2: 0.86 	gb3: 0.66 	gb4: 0.14 	gb5: 0.57 	gb6: 0.85 	gb7: 0.67 	gb8: 0.20 	gb9: 0.42 	gb10: 1.42 	gb11: -2.54 	gb12: -1.91 	gb13: 1.93 	gb14: -2.13 	gb15: -3.26 	gb16: 4.33 	gb17: -0.28 	gb18: -0.12 	gb19: -1.91
