QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 80
PointsCollision: -150
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 4	 mr: 0.2	 nc: 0.4	 nm: 0.2	 bmp: 0	 cc: 0
	Repetition 0
		Population 0
			Robot 5 	f: 307.29 	mf: 269.50
			Robot 6 	f: 433.94 	mf: 358.25
			Robot 7 	f: 447.51 	mf: 368.25
			Robot 8 	f: 414.65 	mf: 448.25
			Robot 9 	f: 35.49 	mf: 261.75
		Population 18
			Robot 0 	f: 314.61 	mf: 352.00
			Robot 1 	f: 423.60 	mf: 390.00
			Robot 2 	f: 472.18 	mf: 377.25
			Robot 3 	f: 504.36 	mf: 373.50
			Robot 4 	f: 415.18 	mf: 402.25
			Robot 5 	f: 279.39 	mf: 286.25
			Robot 6 	f: 426.45 	mf: 333.25
			Robot 7 	f: 131.61 	mf: 308.50
			Robot 8 	f: 451.51 	mf: 436.00
			Robot 9 	f: 520.10 	mf: 307.50
		Population 19
			Robot 0 	f: 494.23 	mf: 401.50
			Robot 1 	f: 435.27 	mf: 420.75
			Robot 2 	f: 464.16 	mf: 382.75
			Robot 3 	f: 352.28 	mf: 439.50
			Robot 4 	f: 507.31 	mf: 417.00
			Robot 5 	f: 125.65 	mf: 255.00
			Robot 6 	f: 376.94 	mf: 304.75
			Robot 7 	f: 222.63 	mf: 294.50
			Robot 8 	f: 384.50 	mf: 405.25
			Robot 9 	f: 422.33 	mf: 322.50
		Population 20
			Robot 0 	f: 464.58 	mf: 421.50
			Robot 1 	f: 422.09 	mf: 429.25
			Robot 2 	f: 360.57 	mf: 427.75
			Robot 3 	f: 524.14 	mf: 448.00
			Robot 4 	f: 470.44 	mf: 455.25
			Robot 5 	f: 442.09 	mf: 288.25
			Robot 6 	f: 503.42 	mf: 434.50
			Robot 7 	f: 375.99 	mf: 293.75
			Robot 8 	f: 378.58 	mf: 406.75
			Robot 9 	f: 481.63 	mf: 364.50
		Population 21
			Robot 0 	f: 438.57 	mf: 427.50
			Robot 1 	f: 448.80 	mf: 432.00
			Robot 2 	f: 433.00 	mf: 432.25
			Robot 3 	f: 474.48 	mf: 463.50
			Robot 4 	f: 475.06 	mf: 466.75
			Robot 5 	f: 348.28 	mf: 298.50
			Robot 6 	f: 442.36 	mf: 436.75
			Robot 7 	f: 338.59 	mf: 266.50
			Robot 8 	f: 471.01 	mf: 421.00
			Robot 9 	f: 488.68 	mf: 477.75
		Population 22
			Robot 0 	f: 391.03 	mf: 446.75
			Robot 1 	f: 387.95 	mf: 423.00
			Robot 2 	f: 365.20 	mf: 405.50
			Robot 3 	f: 437.21 	mf: 446.75
			Robot 4 	f: 244.40 	mf: 424.00
			Robot 5 	f: 238.49 	mf: 288.25
			Robot 6 	f: 471.95 	mf: 448.00
			Robot 7 	f: 404.47 	mf: 334.75
			Robot 8 	f: 410.56 	mf: 410.75
			Robot 9 	f: 289.09 	mf: 420.00
		Population 23
			Robot 0 	f: 246.84 	mf: 384.75
			Robot 1 	f: 487.90 	mf: 436.00
			Robot 2 	f: 275.60 	mf: 358.25
			Robot 3 	f: 499.08 	mf: 483.50
			Robot 4 	f: 307.27 	mf: 374.00
			Robot 5 	f: 391.64 	mf: 354.75
			Robot 6 	f: 405.18 	mf: 455.25
			Robot 7 	f: 207.46 	mf: 331.00
			Robot 8 	f: 299.05 	mf: 389.50
			Robot 9 	f: 338.03 	mf: 399.00
		Population 24
			Robot 0 	f: 481.92 	mf: 389.00
			Robot 1 	f: 406.41 	mf: 432.00
			Robot 2 	f: 466.65 	mf: 384.75
			Robot 3 	f: 518.37 	mf: 482.00
			Robot 4 	f: 435.50 	mf: 365.25
			Robot 5 	f: 363.84 	mf: 335.00
			Robot 6 	f: 485.85 	mf: 450.75
			Robot 7 	f: 441.47 	mf: 347.50
			Robot 8 	f: 191.18 	mf: 342.75
			Robot 9 	f: 242.78 	mf: 339.25
		Population 25
			Robot 0 	f: 412.95 	mf: 382.50
			Robot 1 	f: 118.30 	mf: 349.50
			Robot 2 	f: 225.99 	mf: 332.75
			Robot 3 	f: 274.83 	mf: 432.00
			Robot 4 	f: 267.14 	mf: 313.25
			Robot 5 	f: 412.77 	mf: 351.00
			Robot 6 	f: 227.30 	mf: 397.00
			Robot 7 	f: 165.29 	mf: 304.25
			Robot 8 	f: 323.71 	mf: 305.75
			Robot 9 	f: 311.99 	mf: 295.00
		Population 26
			Robot 0 	f: 488.32 	mf: 406.75
			Robot 1 	f: 273.08 	mf: 321.00
			Robot 2 	f: 516.19 	mf: 370.50
			Robot 3 	f: 175.58 	mf: 366.50
			Robot 4 	f: 388.67 	mf: 349.25
			Robot 5 	f: 505.37 	mf: 417.75
			Robot 6 	f: 353.21 	mf: 367.50
			Robot 7 	f: 381.13 	mf: 298.50
			Robot 8 	f: 423.54 	mf: 309.00
			Robot 9 	f: 446.57 	mf: 334.25
		Population 27
			Robot 0 	f: 487.03 	mf: 467.00
			Robot 1 	f: 327.83 	mf: 281.00
			Robot 2 	f: 463.28 	mf: 417.50
			Robot 3 	f: 338.24 	mf: 326.25
			Robot 4 	f: 372.47 	mf: 365.50
			Robot 5 	f: 359.83 	mf: 409.75
			Robot 6 	f: 268.66 	mf: 333.25
			Robot 7 	f: 490.03 	mf: 369.25
			Robot 8 	f: 301.95 	mf: 309.50
			Robot 9 	f: 460.85 	mf: 364.75
		Population 28
			Robot 0 	f: 351.32 	mf: 434.50
			Robot 1 	f: 335.73 	mf: 263.25
			Robot 2 	f: 259.25 	mf: 365.75
			Robot 3 	f: 236.32 	mf: 255.75
			Robot 4 	f: 505.03 	mf: 383.00
			Robot 5 	f: 398.59 	mf: 418.50
			Robot 6 	f: 353.09 	mf: 300.25
			Robot 7 	f: 440.13 	mf: 369.00
			Robot 8 	f: 483.27 	mf: 382.50
			Robot 9 	f: 499.02 	mf: 429.00
		Population 29
			Robot 0 	f: 397.02 	mf: 430.75
			Robot 1 	f: 415.21 	mf: 337.50
			Robot 2 	f: 520.23 	mf: 439.50
			Robot 3 	f: 413.00 	mf: 290.50
			Robot 4 	f: 154.15 	mf: 354.75
			Robot 5 	f: 523.58 	mf: 446.25
			Robot 6 	f: 253.45 	mf: 306.75
			Robot 7 	f: 513.23 	mf: 456.00
			Robot 8 	f: 340.68 	mf: 386.75
			Robot 9 	f: 388.43 	mf: 448.25
		Population 30
			Robot 0 	f: 333.59 	mf: 392.00
			Robot 1 	f: 292.73 	mf: 342.25
			Robot 2 	f: 438.75 	mf: 420.00
			Robot 3 	f: 6.43 	mf: 248.25
			Robot 4 	f: 252.42 	mf: 320.75
			Robot 5 	f: 458.77 	mf: 434.50
			Robot 6 	f: 307.79 	mf: 295.25
			Robot 7 	f: 199.77 	mf: 410.50
			Robot 8 	f: -91.69 	mf: 258.25
			Robot 9 	f: 365.93 	mf: 428.00
