QtdRobots: 20
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 100
PointsCollision: -1000
PointsMoving: 10
MaxPopulation: 200
MaxTime: 3000
EnvMutationRate: 0.2
QtdSensors: 5
EnableSensor: 0.4

Environment 0	 h: 10	 mr: 0.2	 nc: 0.3	 nm: 0.5	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 11 	f: -130.37 	mf: -1295.00 	ga0: 0.50 	ga1: 3.79 	ga2: 0.42 	ga3: 0.00 	ga4: 0.38 	ga5: 0.00 	ga6: 0.00 	gb0: 0.62 	gb1: 0.41 	gb2: 0.28 	gb3: 0.47 	gb4: 0.70 	gb5: 3.88 	gb6: 3.77 	gb7: 3.82 	gb8: 2.27 	gb9: 3.98
			Robot 12 	f: 853.87 	mf: 410.00 	ga0: 0.85 	ga1: 3.44 	ga2: 0.39 	ga3: 0.01 	ga4: 0.38 	ga5: 0.13 	ga6: 0.09 	gb0: 0.48 	gb1: 0.48 	gb2: 0.16 	gb3: 0.26 	gb4: 0.51 	gb5: 1.78 	gb6: 3.00 	gb7: 1.50 	gb8: 2.51 	gb9: 3.85
			Robot 13 	f: -331.81 	mf: -1280.67 	ga0: 1.00 	ga1: 3.23 	ga2: 0.39 	ga3: 0.40 	ga4: 0.45 	ga5: 0.00 	ga6: 0.00 	gb0: 0.68 	gb1: 0.65 	gb2: 0.16 	gb3: 0.29 	gb4: 0.29 	gb5: 2.11 	gb6: 2.94 	gb7: 2.02 	gb8: 1.46 	gb9: 3.20
			Robot 14 	f: 1219.47 	mf: 947.33 	ga0: 1.00 	ga1: 3.36 	ga2: 0.38 	ga3: 0.14 	ga4: 0.38 	ga5: 0.39 	ga6: 0.33 	gb0: 0.55 	gb1: 0.44 	gb2: 0.40 	gb3: 0.30 	gb4: 0.42 	gb5: 3.50 	gb6: 4.29 	gb7: 3.63 	gb8: 1.14 	gb9: 3.40
			Robot 15 	f: 670.51 	mf: -117.67 	ga0: 1.00 	ga1: 3.49 	ga2: 0.45 	ga3: 0.00 	ga4: 0.38 	ga5: 0.02 	ga6: 0.03 	gb0: 0.36 	gb1: 0.36 	gb2: 0.43 	gb3: 0.26 	gb4: 0.68 	gb5: 2.87 	gb6: 3.35 	gb7: 3.20 	gb8: 1.52 	gb9: 2.40
			Robot 16 	f: -339.19 	mf: -1.33 	ga0: 0.85 	ga1: 3.41 	ga2: 0.39 	ga3: 0.00 	ga4: 0.38 	ga5: 0.05 	ga6: 0.10 	gb0: 0.41 	gb1: 0.73 	gb2: 0.50 	gb3: 0.46 	gb4: 0.25 	gb5: 3.96 	gb6: 3.61 	gb7: 3.51 	gb8: 0.82 	gb9: 3.21
			Robot 17 	f: -393.64 	mf: -1152.00 	ga0: 1.00 	ga1: 3.70 	ga2: 0.39 	ga3: 0.00 	ga4: 0.68 	ga5: 0.00 	ga6: 0.01 	gb0: 0.62 	gb1: 0.30 	gb2: 0.66 	gb3: 0.52 	gb4: 0.32 	gb5: 2.96 	gb6: 2.59 	gb7: 3.27 	gb8: 2.38 	gb9: 2.17
			Robot 18 	f: 1791.95 	mf: 1392.00 	ga0: 1.00 	ga1: 3.45 	ga2: 0.43 	ga3: 0.00 	ga4: 0.41 	ga5: 0.00 	ga6: 0.00 	gb0: 0.53 	gb1: 0.62 	gb2: 0.26 	gb3: 0.23 	gb4: 0.37 	gb5: 3.60 	gb6: 3.63 	gb7: 2.86 	gb8: 1.46 	gb9: 2.99
			Robot 19 	f: -589.93 	mf: -312.00 	ga0: 1.00 	ga1: 3.94 	ga2: 0.51 	ga3: 0.00 	ga4: 0.38 	ga5: 0.03 	ga6: 0.00 	gb0: 0.30 	gb1: 0.37 	gb2: 0.33 	gb3: 0.49 	gb4: 0.23 	gb5: 3.98 	gb6: 2.49 	gb7: 2.47 	gb8: 1.47 	gb9: 2.46
		Population 3
			Robot 0 	f: 394.58 	mf: 165.25 	ga0: 1.00 	ga1: 5.24 	ga2: 0.49 	ga3: 0.12 	ga4: 0.43 	ga5: 0.00 	ga6: 0.00 	gb0: 0.43 	gb1: 0.75 	gb2: 0.28 	gb3: 0.44 	gb4: 0.50 	gb5: 3.24 	gb6: 4.14 	gb7: 3.06 	gb8: 1.35 	gb9: 2.95
			Robot 1 	f: -1250.52 	mf: -683.00 	ga0: 1.00 	ga1: 3.42 	ga2: 0.42 	ga3: 0.00 	ga4: 0.40 	ga5: 0.04 	ga6: 0.17 	gb0: 0.38 	gb1: 0.53 	gb2: 0.48 	gb3: 0.28 	gb4: 0.23 	gb5: 4.03 	gb6: 2.03 	gb7: 1.67 	gb8: 1.51 	gb9: 2.77
			Robot 2 	f: -2180.95 	mf: -1182.25 	ga0: 1.00 	ga1: 3.44 	ga2: 0.34 	ga3: 0.00 	ga4: 0.40 	ga5: 0.00 	ga6: 0.00 	gb0: 0.65 	gb1: 0.31 	gb2: 0.58 	gb3: 0.51 	gb4: 0.60 	gb5: 1.72 	gb6: 2.72 	gb7: 1.70 	gb8: 2.30 	gb9: 3.14
