QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 60
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
		Population 2
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 1.03 	ga1: 3.02 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.09 	ga6: 0.39 	ga7: 0.41 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.61 	gb1: 0.35 	gb2: 0.63 	gb3: 0.81 	gb4: 0.95 	gb5: 0.56 	gb6: 0.17 	gb7: 0.07 	gb8: 0.60 	gb9: 0.62 	gb10: 0.72 	gb11: 1.18 	gb12: -1.25 	gb13: -4.35 	gb14: 0.62 	gb15: -3.83 	gb16: 2.71 	gb17: -3.17 	gb18: -1.73 	gb19: 2.71
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.72 	ga1: 1.89 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.39 	ga7: 0.41 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.19 	gb1: 0.93 	gb2: 0.21 	gb3: 0.63 	gb4: 0.23 	gb5: 0.64 	gb6: 0.62 	gb7: 0.33 	gb8: 0.42 	gb9: 0.33 	gb10: 3.41 	gb11: -3.70 	gb12: -0.30 	gb13: 2.09 	gb14: -2.30 	gb15: 1.85 	gb16: 3.52 	gb17: -0.58 	gb18: 0.70 	gb19: 3.98
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.02 	ga1: 2.95 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.39 	ga7: 0.41 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.71 	gb1: 0.22 	gb2: 0.46 	gb3: 0.46 	gb4: 0.73 	gb5: 0.13 	gb6: 0.62 	gb7: 0.65 	gb8: 0.73 	gb9: 0.26 	gb10: 0.41 	gb11: -0.26 	gb12: 0.57 	gb13: -3.79 	gb14: 0.96 	gb15: 2.76 	gb16: -0.85 	gb17: -0.51 	gb18: 2.88 	gb19: 2.55
			Robot 3 	f: 112.60 	mf: 168.00 	ga0: 0.66 	ga1: 1.61 	ga2: 0.44 	ga3: 0.00 	ga4: 0.00 	ga5: 0.23 	ga6: 0.39 	ga7: 0.41 	ga8: 0.00 	ga9: 0.22 	ga10: 0.00 	ga11: 0.58 	gb0: 0.58 	gb1: 0.93 	gb2: 0.12 	gb3: 0.24 	gb4: 0.62 	gb5: 0.68 	gb6: 0.79 	gb7: 0.36 	gb8: 0.13 	gb9: 0.25 	gb10: -1.41 	gb11: -3.13 	gb12: 2.89 	gb13: 0.41 	gb14: 3.70 	gb15: -0.35 	gb16: -1.75 	gb17: 2.17 	gb18: 1.25 	gb19: 2.46
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.68 	ga1: 3.71 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.39 	ga7: 0.41 	ga8: 0.02 	ga9: 0.38 	ga10: 0.00 	ga11: 0.46 	gb0: 0.43 	gb1: 0.33 	gb2: 0.18 	gb3: 0.75 	gb4: 0.43 	gb5: 0.73 	gb6: 0.26 	gb7: 0.86 	gb8: 0.18 	gb9: 0.24 	gb10: -2.99 	gb11: -1.93 	gb12: -3.83 	gb13: -1.88 	gb14: 3.11 	gb15: -2.91 	gb16: 1.26 	gb17: -4.34 	gb18: 0.81 	gb19: 2.64
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.80 	ga1: 1.24 	ga2: 0.00 	ga3: 0.30 	ga4: 0.00 	ga5: 0.00 	ga6: 0.39 	ga7: 0.45 	ga8: 0.36 	ga9: 0.00 	ga10: 0.40 	ga11: 0.62 	gb0: 0.39 	gb1: 0.42 	gb2: 0.52 	gb3: 0.39 	gb4: 0.44 	gb5: 0.61 	gb6: 0.14 	gb7: 0.62 	gb8: 0.80 	gb9: 0.26 	gb10: 1.77 	gb11: 0.69 	gb12: 2.90 	gb13: -3.16 	gb14: -1.13 	gb15: 2.31 	gb16: -4.52 	gb17: -2.13 	gb18: 3.42 	gb19: 2.25
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.78 	ga1: 1.57 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.75 	ga6: 0.39 	ga7: 0.41 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.34 	gb1: 0.68 	gb2: 0.66 	gb3: 0.51 	gb4: 0.84 	gb5: 0.37 	gb6: 0.76 	gb7: 0.16 	gb8: 0.53 	gb9: 0.85 	gb10: 3.45 	gb11: 3.94 	gb12: 0.60 	gb13: 2.08 	gb14: -3.34 	gb15: -2.70 	gb16: 4.13 	gb17: -3.62 	gb18: -0.07 	gb19: 1.60
			Robot 7 	f: 888.30 	mf: 876.33 	ga0: 0.94 	ga1: 1.18 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.62 	ga7: 0.65 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.82 	gb1: 0.64 	gb2: 0.57 	gb3: 0.83 	gb4: 0.91 	gb5: 0.59 	gb6: 0.10 	gb7: 0.14 	gb8: 0.45 	gb9: 0.24 	gb10: 3.35 	gb11: -3.57 	gb12: -0.22 	gb13: 0.45 	gb14: 3.42 	gb15: -1.52 	gb16: -1.45 	gb17: -2.48 	gb18: -0.55 	gb19: -2.84
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 1.03 	ga1: 1.20 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.39 	ga7: 0.41 	ga8: 0.00 	ga9: 0.00 	ga10: 0.41 	ga11: 0.18 	gb0: 0.76 	gb1: 0.91 	gb2: 0.38 	gb3: 0.18 	gb4: 0.42 	gb5: 0.44 	gb6: 0.24 	gb7: 0.31 	gb8: 0.65 	gb9: 0.19 	gb10: -0.85 	gb11: 1.77 	gb12: -1.47 	gb13: 3.43 	gb14: 1.71 	gb15: 2.39 	gb16: -0.24 	gb17: 2.47 	gb18: 3.66 	gb19: -2.28
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.71 	ga1: 1.55 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.74 	ga6: 0.39 	ga7: 0.41 	ga8: 0.00 	ga9: 0.25 	ga10: 0.00 	ga11: 0.00 	gb0: 0.79 	gb1: 0.49 	gb2: 0.77 	gb3: 0.71 	gb4: 0.34 	gb5: 0.18 	gb6: 0.11 	gb7: 0.81 	gb8: 0.65 	gb9: 0.31 	gb10: 1.40 	gb11: 0.94 	gb12: 1.95 	gb13: 0.47 	gb14: -0.21 	gb15: 0.01 	gb16: -0.40 	gb17: 2.02 	gb18: 0.69 	gb19: -0.93
		Population 3
