QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 9.2	 mr: 0.51	 nc: 0.2	 nm: 0.1	 bmp: 0.58	 cc: 2.65
	Repetition 0
		Population 0
			Robot 7 	f:287.53 	mf: 443.68
			Robot 8 	f:568.64 	mf: 368.76
			Robot 9 	f:89.80 	mf: 287.23
		Population 20
			Robot 0 	f:137.68 	mf: 382.78
			Robot 1 	f:496.81 	mf: 405.21
			Robot 2 	f:193.37 	mf: 278.88
			Robot 3 	f:243.41 	mf: 378.80
			Robot 4 	f:340.02 	mf: 304.55
			Robot 5 	f:435.65 	mf: 453.93
			Robot 6 	f:415.93 	mf: 304.01
			Robot 7 	f:-23.54 	mf: 397.70
			Robot 8 	f:372.76 	mf: 379.21
			Robot 9 	f:421.09 	mf: 288.60
		Population 21
			Robot 0 	f:450.04 	mf: 380.03
			Robot 1 	f:461.29 	mf: 424.49
			Robot 2 	f:405.84 	mf: 332.67
			Robot 3 	f:458.21 	mf: 410.22
			Robot 4 	f:460.49 	mf: 300.90
			Robot 5 	f:445.25 	mf: 458.25
			Robot 6 	f:414.61 	mf: 321.32
			Robot 7 	f:132.70 	mf: 359.14
			Robot 8 	f:377.56 	mf: 379.87
			Robot 9 	f:469.67 	mf: 287.75
		Population 22
			Robot 0 	f:488.19 	mf: 389.66
			Robot 1 	f:486.05 	mf: 431.88
			Robot 2 	f:405.24 	mf: 343.66
			Robot 3 	f:456.96 	mf: 413.99
			Robot 4 	f:415.84 	mf: 329.07
			Robot 5 	f:489.05 	mf: 459.81
			Robot 6 	f:180.32 	mf: 364.66
			Robot 7 	f:325.22 	mf: 342.92
			Robot 8 	f:474.68 	mf: 380.73
			Robot 9 	f:227.95 	mf: 268.94
		Population 23
			Robot 0 	f:-231.65 	mf: 310.55
			Robot 1 	f:491.26 	mf: 432.60
			Robot 2 	f:158.16 	mf: 351.34
			Robot 3 	f:395.59 	mf: 416.11
			Robot 4 	f:320.89 	mf: 317.63
			Robot 5 	f:464.91 	mf: 459.43
			Robot 6 	f:397.87 	mf: 356.11
			Robot 7 	f:383.64 	mf: 333.86
			Robot 8 	f:463.38 	mf: 399.14
			Robot 9 	f:442.51 	mf: 263.95
		Population 24
			Robot 0 	f:430.67 	mf: 309.79
			Robot 1 	f:315.71 	mf: 414.59
			Robot 2 	f:421.86 	mf: 378.28
			Robot 3 	f:404.06 	mf: 409.37
			Robot 4 	f:411.87 	mf: 344.86
			Robot 5 	f:343.35 	mf: 442.53
			Robot 6 	f:139.05 	mf: 325.36
			Robot 7 	f:448.52 	mf: 328.53
			Robot 8 	f:490.49 	mf: 407.34
			Robot 9 	f:101.19 	mf: 260.98
		Population 25
			Robot 0 	f:470.37 	mf: 324.30
			Robot 1 	f:149.64 	mf: 372.81
			Robot 2 	f:158.07 	mf: 349.99
			Robot 3 	f:458.02 	mf: 420.77
			Robot 4 	f:488.74 	mf: 396.21
			Robot 5 	f:476.76 	mf: 444.30
			Robot 6 	f:403.69 	mf: 359.29
			Robot 7 	f:451.41 	mf: 327.34
			Robot 8 	f:452.32 	mf: 436.85
			Robot 9 	f:394.85 	mf: 297.99
		Population 26
			Robot 0 	f:118.23 	mf: 304.08
			Robot 1 	f:359.68 	mf: 387.50
			Robot 2 	f:417.64 	mf: 343.08
			Robot 3 	f:319.11 	mf: 412.40
			Robot 4 	f:256.01 	mf: 375.84
			Robot 5 	f:490.71 	mf: 445.95
			Robot 6 	f:196.51 	mf: 333.60
			Robot 7 	f:266.48 	mf: 305.32
			Robot 8 	f:365.46 	mf: 428.79
			Robot 9 	f:476.73 	mf: 307.04
		Population 27
			Robot 0 	f:-313.78 	mf: 221.43
			Robot 1 	f:341.18 	mf: 398.91
			Robot 2 	f:16.49 	mf: 290.03
			Robot 3 	f:209.19 	mf: 380.47
			Robot 4 	f:441.11 	mf: 376.00
			Robot 5 	f:445.63 	mf: 451.21
			Robot 6 	f:432.69 	mf: 331.28
			Robot 7 	f:263.42 	mf: 281.71
			Robot 8 	f:201.70 	mf: 418.55
			Robot 9 	f:442.53 	mf: 340.70
		Population 28
			Robot 0 	f:529.93 	mf: 231.07
			Robot 1 	f:400.11 	mf: 389.08
			Robot 2 	f:170.53 	mf: 260.80
			Robot 3 	f:316.05 	mf: 362.29
			Robot 4 	f:482.06 	mf: 401.89
			Robot 5 	f:474.56 	mf: 451.76
			Robot 6 	f:323.63 	mf: 322.70
			Robot 7 	f:477.49 	mf: 302.82
			Robot 8 	f:433.37 	mf: 403.53
			Robot 9 	f:251.91 	mf: 358.72
		Population 29
			Robot 0 	f:455.79 	mf: 266.42
			Robot 1 	f:298.55 	mf: 367.05
			Robot 2 	f:390.84 	mf: 282.74
			Robot 3 	f:190.76 	mf: 356.44
			Robot 4 	f:495.63 	mf: 419.18
			Robot 5 	f:459.27 	mf: 454.39
			Robot 6 	f:378.55 	mf: 318.55
			Robot 7 	f:441.17 	mf: 354.45
			Robot 8 	f:130.08 	mf: 376.56
			Robot 9 	f:435.81 	mf: 360.35
		Population 30
			Robot 0 	f:138.52 	mf: 231.81
			Robot 1 	f:451.62 	mf: 365.98
			Robot 2 	f:-1795.00 	mf: 38.20
			Robot 3 	f:383.65 	mf: 348.15
			Robot 4 	f:238.52 	mf: 394.52
			Robot 5 	f:429.56 	mf: 452.65
			Robot 6 	f:498.37 	mf: 327.85
			Robot 7 	f:339.94 	mf: 377.48
			Robot 8 	f:413.97 	mf: 380.61
			Robot 9 	f:56.56 	mf: 314.45
		Population 31
			Robot 0 	f:299.72 	mf: 210.87
			Robot 1 	f:476.11 	mf: 364.87
			Robot 2 	f:167.14 	mf: 11.75
			Robot 3 	f:472.29 	mf: 349.86
			Robot 4 	f:272.92 	mf: 378.64
			Robot 5 	f:408.64 	mf: 443.71
			Robot 6 	f:471.81 	mf: 360.24
			Robot 7 	f:454.94 	mf: 391.89
			Robot 8 	f:299.07 	mf: 361.09
