QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 11 	f: 0.00 	ga0: 0.45 	ga1: 2.93 	ga2: 0.08 	ga3: 0.04 	ga4: 0.20 	ga5: 0.00 	ga6: 0.00 	gb0: 0.41 	gb1: 0.13 	gb2: 0.33 	gb3: -0.27 	gb4: -0.17 	gb5: 1.62 	gb6: -2.09 	gb7: 0.00 	gb8: 0.60 	gb9: 0.97
			Robot 12 	f: 0.00 	ga0: 0.65 	ga1: 6.50 	ga2: 0.00 	ga3: 0.23 	ga4: 0.17 	ga5: 0.00 	ga6: 0.00 	gb0: -0.33 	gb1: 0.51 	gb2: -0.21 	gb3: -0.59 	gb4: -0.09 	gb5: 1.06 	gb6: -1.59 	gb7: -0.32 	gb8: 1.17 	gb9: 1.37
			Robot 13 	f: 0.00 	ga0: 0.66 	ga1: 2.76 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.46 	gb1: 0.60 	gb2: -0.24 	gb3: -0.72 	gb4: -0.37 	gb5: 1.66 	gb6: -1.57 	gb7: 0.12 	gb8: 0.90 	gb9: 0.91
			Robot 14 	f: 0.00 	ga0: 0.57 	ga1: 6.90 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.03 	gb1: 0.74 	gb2: -0.20 	gb3: -0.73 	gb4: 0.37 	gb5: 5.79 	gb6: -5.20 	gb7: -1.62 	gb8: 2.81 	gb9: 3.39
		Population 2
			Robot 0 	f: 0.00 	ga0: 0.57 	ga1: 6.54 	ga2: 0.09 	ga3: 0.06 	ga4: 0.01 	ga5: 0.09 	ga6: 0.00 	gb0: -0.05 	gb1: 0.63 	gb2: -0.21 	gb3: -0.60 	gb4: -0.35 	gb5: 1.60 	gb6: -1.87 	gb7: -0.17 	gb8: 0.56 	gb9: 0.50
			Robot 1 	f: 0.00 	ga0: 0.43 	ga1: 5.04 	ga2: 0.01 	ga3: 0.02 	ga4: 0.03 	ga5: 0.00 	ga6: 0.00 	gb0: -0.26 	gb1: 0.39 	gb2: 0.32 	gb3: -0.47 	gb4: 0.58 	gb5: 1.92 	gb6: -2.04 	gb7: 0.01 	gb8: 0.39 	gb9: 0.90
			Robot 2 	f: 0.00 	ga0: 0.47 	ga1: 3.73 	ga2: 0.20 	ga3: 0.00 	ga4: 0.19 	ga5: 0.00 	ga6: 0.03 	gb0: -0.27 	gb1: 0.30 	gb2: 0.10 	gb3: -0.41 	gb4: 0.56 	gb5: 1.50 	gb6: -1.78 	gb7: -0.85 	gb8: 0.82 	gb9: 0.56
			Robot 3 	f: 0.00 	ga0: 0.53 	ga1: 5.21 	ga2: 0.00 	ga3: 0.01 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.06 	gb1: 0.55 	gb2: -0.02 	gb3: -0.39 	gb4: -0.27 	gb5: 2.05 	gb6: -1.61 	gb7: -1.02 	gb8: 1.05 	gb9: 1.40
			Robot 4 	f: 0.00 	ga0: 0.71 	ga1: 5.98 	ga2: 0.04 	ga3: 0.11 	ga4: 0.04 	ga5: 0.00 	ga6: 0.00 	gb0: 0.08 	gb1: -0.01 	gb2: 0.29 	gb3: 0.11 	gb4: 0.41 	gb5: 1.74 	gb6: -2.07 	gb7: -0.40 	gb8: 0.97 	gb9: 1.16
