Environment 0
	Repetition 0
		Population 0
			Robot 9 	f:236.34 	mf: 227.23 	g0: 0.55 	g1: 0.68 	g2: 0.49 	g3: 5.31 	g4: 17.89
			Robot 10 	f:122.93 	mf: 139.59 	g0: 0.97 	g1: 0.35 	g2: 0.46 	g3: 6.27 	g4: 73.41
			Robot 11 	f:169.20 	mf: 78.57 	g0: 1.62 	g1: 2.38 	g2: 0.37 	g3: 2.10 	g4: 36.75
			Robot 12 	f:-253.12 	mf: -157.27 	g0: 1.12 	g1: 1.03 	g2: 0.24 	g3: 1.76 	g4: 36.34
			Robot 13 	f:-15.51 	mf: 86.86 	g0: 1.98 	g1: 2.13 	g2: 0.38 	g3: 2.58 	g4: 14.13
			Robot 14 	f:19.42 	mf: 84.04 	g0: 1.95 	g1: 2.54 	g2: 0.35 	g3: 4.35 	g4: 40.57
			Robot 15 	f:233.34 	mf: 201.75 	g0: 2.50 	g1: 2.25 	g2: 0.53 	g3: 6.32 	g4: 40.88
			Robot 16 	f:-272.26 	mf: -92.11 	g0: 0.24 	g1: 2.37 	g2: 0.12 	g3: 7.52 	g4: 44.41
			Robot 17 	f:167.43 	mf: 145.91 	g0: 2.04 	g1: 2.10 	g2: 0.54 	g3: 9.84 	g4: 30.78
			Robot 18 	f:415.30 	mf: 231.95 	g0: 2.83 	g1: 1.97 	g2: 0.95 	g3: 3.11 	g4: 27.33
			Robot 19 	f:-702.76 	mf: -206.61 	g0: 1.97 	g1: 2.59 	g2: 0.70 	g3: 1.17 	g4: 3.40
		Population 5
			Robot 0 	f:-182.91 	mf: -101.16 	g0: 0.55 	g1: 0.79 	g2: 0.49 	g3: 2.55 	g4: 6.59
			Robot 1 	f:-44.83 	mf: -134.44 	g0: 0.83 	g1: 2.80 	g2: 0.61 	g3: 1.82 	g4: 79.14
			Robot 2 	f:232.19 	mf: 133.23 	g0: 1.59 	g1: 1.20 	g2: 0.60 	g3: 3.18 	g4: 48.15
			Robot 3 	f:274.53 	mf: 281.75 	g0: 0.42 	g1: 0.32 	g2: 0.62 	g3: 9.37 	g4: 74.16
			Robot 4 	f:141.11 	mf: 199.54 	g0: 1.64 	g1: 0.91 	g2: 0.61 	g3: 9.29 	g4: 19.45
			Robot 5 	f:-140.04 	mf: 169.91 	g0: 0.69 	g1: 0.43 	g2: 0.75 	g3: 3.15 	g4: 18.39
			Robot 6 	f:433.61 	mf: 415.13 	g0: 1.59 	g1: 1.75 	g2: 0.91 	g3: 9.04 	g4: 25.37
			Robot 7 	f:-725.62 	mf: -243.01 	g0: 0.77 	g1: 1.35 	g2: 0.83 	g3: 1.40 	g4: 25.66
			Robot 8 	f:336.33 	mf: 288.14 	g0: 1.26 	g1: 0.51 	g2: 0.84 	g3: 2.20 	g4: 46.96
			Robot 9 	f:232.41 	mf: 232.24 	g0: 0.57 	g1: 0.70 	g2: 0.49 	g3: 5.39 	g4: 18.04
			Robot 10 	f:191.67 	mf: 144.79 	g0: 0.98 	g1: 0.38 	g2: 0.47 	g3: 6.33 	g4: 72.45
			Robot 11 	f:174.63 	mf: 84.94 	g0: 1.62 	g1: 2.37 	g2: 0.38 	g3: 2.24 	g4: 36.52
			Robot 12 	f:85.09 	mf: -46.35 	g0: 1.13 	g1: 1.04 	g2: 0.25 	g3: 1.91 	g4: 36.12
			Robot 13 	f:119.82 	mf: 74.66 	g0: 1.97 	g1: 2.12 	g2: 0.39 	g3: 2.71 	g4: 14.35
			Robot 14 	f:114.96 	mf: 96.38 	g0: 1.94 	g1: 2.52 	g2: 0.36 	g3: 4.44 	g4: 40.27
			Robot 15 	f:153.13 	mf: 185.75 	g0: 2.48 	g1: 2.24 	g2: 0.54 	g3: 6.37 	g4: 40.57
			Robot 16 	f:52.07 	mf: -82.17 	g0: 0.27 	g1: 2.36 	g2: 0.14 	g3: 7.55 	g4: 44.03
			Robot 17 	f:113.92 	mf: 107.29 	g0: 2.03 	g1: 2.10 	g2: 0.55 	g3: 9.82 	g4: 30.67
			Robot 18 	f:425.53 	mf: 237.39 	g0: 2.83 	g1: 1.97 	g2: 0.95 	g3: 3.11 	g4: 27.33
			Robot 19 	f:126.50 	mf: -161.46 	g0: 1.96 	g1: 2.57 	g2: 0.71 	g3: 1.32 	g4: 3.84
		Population 6
			Robot 0 	f:-28.00 	mf: -31.39 	g0: 0.63 	g1: 0.82 	g2: 0.50 	g3: 2.62 	g4: 7.01
			Robot 1 	f:224.76 	mf: 50.06 	g0: 0.87 	g1: 2.78 	g2: 0.62 	g3: 1.85 	g4: 78.10
			Robot 2 	f:81.93 	mf: 105.68 	g0: 1.61 	g1: 1.22 	g2: 0.61 	g3: 3.17 	g4: 47.74
			Robot 3 	f:303.59 	mf: 283.85 	g0: 0.48 	g1: 0.36 	g2: 0.62 	g3: 9.24 	g4: 73.23
			Robot 4 	f:299.54 	mf: 219.88 	g0: 1.67 	g1: 0.93 	g2: 0.62 	g3: 9.16 	g4: 19.61
			Robot 5 	f:358.01 	mf: 184.51 	g0: 0.73 	g1: 0.46 	g2: 0.75 	g3: 3.15 	g4: 18.57
			Robot 6 	f:329.24 	mf: 382.30 	g0: 1.61 	g1: 1.75 	g2: 0.91 	g3: 8.92 	g4: 25.41
