QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 4 	f: -552.02 	ga0: 0.60 	ga1: 2.15 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.09 	ga6: 0.00 	gb0: 0.15 	gb1: 2.44 	gb2: 0.33 	gb3: -0.06 	gb4: 0.02 	gb5: -0.15 	gb6: -0.86 	gb7: -1.09 	gb8: 0.73 	gb9: -0.58
			Robot 5 	f: 0.00 	ga0: 0.53 	ga1: 1.25 	ga2: 0.00 	ga3: 0.00 	ga4: 0.09 	ga5: 0.00 	ga6: 0.04 	gb0: 0.09 	gb1: 1.62 	gb2: 0.22 	gb3: -0.06 	gb4: 0.19 	gb5: -0.23 	gb6: -0.82 	gb7: -1.06 	gb8: 0.87 	gb9: -0.58
			Robot 6 	f: -578.03 	ga0: -0.74 	ga1: 6.65 	ga2: 0.14 	ga3: 0.03 	ga4: 0.13 	ga5: 0.00 	ga6: 0.00 	gb0: -0.99 	gb1: 4.32 	gb2: 0.40 	gb3: 0.02 	gb4: 0.22 	gb5: -0.17 	gb6: -0.88 	gb7: -1.19 	gb8: 0.74 	gb9: -0.60
			Robot 7 	f: -537.59 	ga0: -0.74 	ga1: 6.41 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.17 	ga6: 0.00 	gb0: -1.03 	gb1: 4.33 	gb2: 0.22 	gb3: 0.08 	gb4: 0.05 	gb5: 0.11 	gb6: -0.76 	gb7: -1.10 	gb8: 0.83 	gb9: -0.54
			Robot 8 	f: -581.53 	ga0: -2.10 	ga1: 5.63 	ga2: 0.00 	ga3: 0.12 	ga4: 0.02 	ga5: 0.00 	ga6: 0.05 	gb0: -1.82 	gb1: 3.50 	gb2: 0.36 	gb3: 0.12 	gb4: 0.05 	gb5: -0.20 	gb6: -0.87 	gb7: -1.27 	gb8: 0.86 	gb9: -0.52
			Robot 9 	f: 0.00 	ga0: -4.24 	ga1: 7.19 	ga2: 0.12 	ga3: 0.00 	ga4: 0.05 	ga5: 0.08 	ga6: 0.00 	gb0: -2.18 	gb1: 4.85 	gb2: 0.36 	gb3: 0.10 	gb4: 0.21 	gb5: -0.07 	gb6: -0.86 	gb7: -1.17 	gb8: 0.85 	gb9: -0.51
			Robot 10 	f: -398.73 	ga0: -6.34 	ga1: 2.71 	ga2: 0.23 	ga3: 0.00 	ga4: 0.00 	ga5: 0.05 	ga6: 0.05 	gb0: -4.21 	gb1: 2.25 	gb2: 0.34 	gb3: 0.01 	gb4: 0.15 	gb5: -0.10 	gb6: -0.94 	gb7: -1.15 	gb8: 0.78 	gb9: -0.54
			Robot 11 	f: -595.84 	ga0: -1.82 	ga1: 6.69 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.16 	gb0: -1.70 	gb1: 4.42 	gb2: 0.20 	gb3: 0.02 	gb4: 0.12 	gb5: -0.11 	gb6: -0.83 	gb7: -1.28 	gb8: 0.93 	gb9: -0.52
			Robot 12 	f: -511.10 	ga0: -0.76 	ga1: 5.37 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.01 	ga6: 0.00 	gb0: -0.95 	gb1: 3.30 	gb2: 0.22 	gb3: 0.05 	gb4: 0.19 	gb5: -0.06 	gb6: -0.84 	gb7: -1.25 	gb8: 0.79 	gb9: -0.56
			Robot 13 	f: -593.74 	ga0: -5.41 	ga1: 5.05 	ga2: 0.04 	ga3: 0.24 	ga4: 0.17 	ga5: 0.00 	ga6: 0.00 	gb0: -3.49 	gb1: 3.34 	gb2: 0.27 	gb3: 0.17 	gb4: 0.15 	gb5: -0.15 	gb6: -0.90 	gb7: -1.10 	gb8: 0.86 	gb9: -0.68
