QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.3	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
		Population 2
			Robot 0 	f: 200.14 	mf: 265.33 	ga0: 1.02 	ga1: 0.80 	ga2: 0.60 	ga3: 0.53 	ga4: 0.68 	ga5: 0.78 	ga6: 0.72 	ga7: 0.00 	ga8: 0.09 	ga9: 0.45 	ga10: 0.06 	ga11: 0.79 	gb0: 0.52 	gb1: 0.79 	gb2: 0.34 	gb3: 0.23 	gb4: 0.79 	gb5: 0.42 	gb6: 0.82 	gb7: 0.16 	gb8: 0.37 	gb9: 0.19 	gb10: -0.94 	gb11: -1.57 	gb12: 3.40 	gb13: -1.16 	gb14: 1.21 	gb15: 3.54 	gb16: -2.09 	gb17: 4.14 	gb18: 2.97 	gb19: 1.62
			Robot 1 	f: -28.26 	mf: 182.67 	ga0: 1.02 	ga1: 2.40 	ga2: 0.14 	ga3: 0.00 	ga4: 0.60 	ga5: 0.48 	ga6: 0.74 	ga7: 0.71 	ga8: 0.53 	ga9: 0.30 	ga10: 0.00 	ga11: 0.33 	gb0: 0.77 	gb1: 0.50 	gb2: 0.30 	gb3: 0.93 	gb4: 0.46 	gb5: 0.75 	gb6: 0.94 	gb7: 0.36 	gb8: 0.34 	gb9: 0.16 	gb10: -3.03 	gb11: 1.95 	gb12: -2.03 	gb13: 2.16 	gb14: 1.90 	gb15: -1.92 	gb16: -0.29 	gb17: 2.66 	gb18: 4.40 	gb19: 0.68
			Robot 2 	f: 293.86 	mf: 97.67 	ga0: 0.20 	ga1: 2.40 	ga2: 0.77 	ga3: 0.22 	ga4: 0.10 	ga5: 0.05 	ga6: 0.36 	ga7: 0.69 	ga8: 0.00 	ga9: 0.30 	ga10: 0.00 	ga11: 0.65 	gb0: 0.50 	gb1: 0.31 	gb2: 0.85 	gb3: 0.82 	gb4: 0.67 	gb5: 0.49 	gb6: 0.37 	gb7: 0.71 	gb8: 0.89 	gb9: 0.51 	gb10: -0.73 	gb11: 1.14 	gb12: 4.03 	gb13: 0.06 	gb14: 1.86 	gb15: -1.84 	gb16: -4.09 	gb17: -1.45 	gb18: 2.56 	gb19: -0.87
			Robot 3 	f: 492.41 	mf: 240.67 	ga0: 0.61 	ga1: 2.40 	ga2: 0.69 	ga3: 0.11 	ga4: 0.10 	ga5: 0.08 	ga6: 0.36 	ga7: 0.38 	ga8: 0.00 	ga9: 0.30 	ga10: 0.00 	ga11: 0.49 	gb0: 0.47 	gb1: 0.54 	gb2: 0.69 	gb3: 0.79 	gb4: 0.39 	gb5: 0.38 	gb6: 0.58 	gb7: 0.78 	gb8: 0.57 	gb9: 0.56 	gb10: 0.34 	gb11: 2.66 	gb12: 3.40 	gb13: 0.40 	gb14: 0.45 	gb15: 1.16 	gb16: -2.88 	gb17: -1.63 	gb18: 2.65 	gb19: -2.27
			Robot 4 	f: -285.63 	mf: 17.00 	ga0: 0.84 	ga1: 2.40 	ga2: 0.77 	ga3: 0.22 	ga4: 0.77 	ga5: 0.05 	ga6: 0.36 	ga7: 0.69 	ga8: 0.00 	ga9: 0.30 	ga10: 0.00 	ga11: 0.65 	gb0: 0.39 	gb1: 0.42 	gb2: 0.51 	gb3: 0.44 	gb4: 0.68 	gb5: 0.34 	gb6: 0.39 	gb7: 0.58 	gb8: 0.35 	gb9: 0.24 	gb10: -2.88 	gb11: 2.91 	gb12: -1.00 	gb13: -3.87 	gb14: 2.08 	gb15: 0.50 	gb16: -4.47 	gb17: -1.75 	gb18: 0.90 	gb19: -0.37
			Robot 5 	f: -551.59 	mf: 54.00 	ga0: 0.84 	ga1: 2.40 	ga2: 0.60 	ga3: 0.22 	ga4: 0.10 	ga5: 0.05 	ga6: 0.36 	ga7: 0.69 	ga8: 0.00 	ga9: 0.32 	ga10: 0.00 	ga11: 0.65 	gb0: 0.52 	gb1: 0.57 	gb2: 0.53 	gb3: 0.64 	gb4: 0.82 	gb5: 0.21 	gb6: 0.63 	gb7: 0.31 	gb8: 0.50 	gb9: 0.77 	gb10: -0.26 	gb11: 1.42 	gb12: 1.04 	gb13: -2.74 	gb14: 0.76 	gb15: -1.51 	gb16: 1.30 	gb17: -1.54 	gb18: -0.68 	gb19: 3.57
			Robot 6 	f: 200.14 	mf: 265.33 	ga0: 1.02 	ga1: 2.40 	ga2: 0.62 	ga3: 0.00 	ga4: 0.10 	ga5: 0.11 	ga6: 0.36 	ga7: 0.08 	ga8: 0.00 	ga9: 0.30 	ga10: 0.00 	ga11: 0.33 	gb0: 0.43 	gb1: 0.76 	gb2: 0.52 	gb3: 0.75 	gb4: 0.12 	gb5: 0.28 	gb6: 0.79 	gb7: 0.86 	gb8: 0.24 	gb9: 0.61 	gb10: 1.42 	gb11: 4.18 	gb12: 2.77 	gb13: 0.75 	gb14: -0.96 	gb15: 4.16 	gb16: -1.67 	gb17: -1.81 	gb18: 2.74 	gb19: -3.66
			Robot 7 	f: 605.74 	mf: 201.67 	ga0: 0.20 	ga1: 2.40 	ga2: 0.77 	ga3: 0.22 	ga4: 0.10 	ga5: 0.05 	ga6: 0.36 	ga7: 0.69 	ga8: 0.00 	ga9: 0.30 	ga10: 0.00 	ga11: 0.65 	gb0: 0.50 	gb1: 0.31 	gb2: 0.85 	gb3: 0.82 	gb4: 0.67 	gb5: 0.49 	gb6: 0.37 	gb7: 0.71 	gb8: 0.89 	gb9: 0.51 	gb10: -0.73 	gb11: 1.14 	gb12: 4.03 	gb13: 0.06 	gb14: 1.86 	gb15: -1.84 	gb16: -4.09 	gb17: -1.45 	gb18: 2.56 	gb19: -0.87
			Robot 8 	f: -218.09 	mf: 151.67 	ga0: 0.20 	ga1: 2.40 	ga2: 0.45 	ga3: 0.22 	ga4: 0.63 	ga5: 0.05 	ga6: 0.36 	ga7: 0.59 	ga8: 0.00 	ga9: 0.07 	ga10: 0.00 	ga11: 0.65 	gb0: 0.64 	gb1: 0.24 	gb2: 0.47 	gb3: 0.23 	gb4: 0.60 	gb5: 0.28 	gb6: 0.15 	gb7: 0.45 	gb8: 0.81 	gb9: 0.57 	gb10: -0.98 	gb11: 3.78 	gb12: 0.82 	gb13: -3.19 	gb14: -1.52 	gb15: -0.74 	gb16: -0.03 	gb17: -2.03 	gb18: -2.34 	gb19: 0.08
