QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 30
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 200
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 1542.12 	mf: 514.00 	ga0: 1.19 	ga1: 0.83 	ga2: 0.00 	ga3: 0.21 	ga4: 0.00 	ga5: 0.67 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.48 	gb1: 0.09 	gb2: 0.52 	gb3: 0.83 	gb4: 0.18 	gb5: 0.86 	gb6: 0.64 	gb7: 0.40 	gb8: 0.41 	gb9: 0.24 	gb10: 2.69 	gb11: 3.33 	gb12: 2.12 	gb13: -2.65 	gb14: -1.29 	gb15: 1.57 	gb16: -1.75 	gb17: 1.28 	gb18: -3.52 	gb19: -4.04
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.96 	ga1: 2.58 	ga2: 0.00 	ga3: 0.46 	ga4: 0.00 	ga5: 0.40 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.66 	gb1: 0.91 	gb2: 0.77 	gb3: 0.66 	gb4: 0.36 	gb5: 0.10 	gb6: 0.66 	gb7: 0.60 	gb8: 0.15 	gb9: 0.37 	gb10: -2.40 	gb11: -1.39 	gb12: 2.79 	gb13: -3.94 	gb14: -1.15 	gb15: 3.60 	gb16: 0.21 	gb17: -1.68 	gb18: 0.38 	gb19: -2.37
			Robot 2 	f: 1463.14 	mf: 584.00 	ga0: 1.21 	ga1: 4.86 	ga2: 0.44 	ga3: 0.53 	ga4: 0.00 	ga5: 0.57 	ga6: 0.00 	ga7: 0.66 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.85 	gb1: 0.70 	gb2: 0.65 	gb3: 0.19 	gb4: 0.67 	gb5: 0.67 	gb6: 0.57 	gb7: 0.33 	gb8: 0.42 	gb9: 0.61 	gb10: -3.17 	gb11: 2.29 	gb12: 2.73 	gb13: 0.78 	gb14: -2.09 	gb15: 3.93 	gb16: 3.67 	gb17: -0.69 	gb18: -3.11 	gb19: -4.09
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.18 	ga1: 3.19 	ga2: 0.00 	ga3: 0.34 	ga4: 0.64 	ga5: 0.40 	ga6: 0.00 	ga7: 0.08 	ga8: 0.00 	ga9: 0.00 	ga10: 0.27 	ga11: 0.00 	gb0: 0.39 	gb1: 0.23 	gb2: 0.77 	gb3: 0.88 	gb4: 0.76 	gb5: 0.43 	gb6: 0.74 	gb7: 0.11 	gb8: 0.20 	gb9: 0.35 	gb10: 3.80 	gb11: -3.81 	gb12: 0.09 	gb13: 2.30 	gb14: -0.52 	gb15: -1.64 	gb16: -1.18 	gb17: 0.89 	gb18: 2.96 	gb19: 3.12
			Robot 4 	f: 0.00 	mf: 104.00 	ga0: 0.77 	ga1: 3.45 	ga2: 0.00 	ga3: 0.34 	ga4: 0.54 	ga5: 0.40 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.26 	gb0: 0.57 	gb1: 0.58 	gb2: 0.34 	gb3: 0.85 	gb4: 0.84 	gb5: 0.52 	gb6: 0.49 	gb7: 0.66 	gb8: 0.50 	gb9: 0.90 	gb10: 3.12 	gb11: 3.37 	gb12: 4.18 	gb13: -2.74 	gb14: -1.69 	gb15: 1.16 	gb16: -0.67 	gb17: 0.72 	gb18: 1.03 	gb19: -3.52
			Robot 5 	f: 0.00 	mf: 133.33 	ga0: 0.91 	ga1: 3.12 	ga2: 0.00 	ga3: 0.52 	ga4: 0.37 	ga5: 0.40 	ga6: 0.07 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.12 	ga11: 0.00 	gb0: 0.29 	gb1: 0.60 	gb2: 0.77 	gb3: 0.25 	gb4: 0.61 	gb5: 0.27 	gb6: 0.63 	gb7: 0.57 	gb8: 0.85 	gb9: 0.23 	gb10: 1.01 	gb11: 3.40 	gb12: 4.37 	gb13: -2.07 	gb14: -1.69 	gb15: 0.23 	gb16: 2.74 	gb17: -1.68 	gb18: -2.42 	gb19: -2.89
			Robot 6 	f: -2107.37 	mf: -702.33 	ga0: 0.83 	ga1: 3.84 	ga2: 0.00 	ga3: 0.63 	ga4: 0.00 	ga5: 0.40 	ga6: 0.00 	ga7: 0.00 	ga8: 0.03 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.36 	gb1: 0.91 	gb2: 0.11 	gb3: 0.13 	gb4: 0.26 	gb5: 0.69 	gb6: 0.24 	gb7: 0.56 	gb8: 0.41 	gb9: 0.42 	gb10: -0.42 	gb11: -3.70 	gb12: 2.30 	gb13: 1.72 	gb14: 1.17 	gb15: 2.77 	gb16: -0.35 	gb17: -1.89 	gb18: -1.13 	gb19: 2.41
			Robot 7 	f: 1028.20 	mf: 706.67 	ga0: 1.15 	ga1: 3.28 	ga2: 0.00 	ga3: 0.54 	ga4: 0.00 	ga5: 0.63 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.60 	gb1: 0.50 	gb2: 0.33 	gb3: 0.42 	gb4: 0.26 	gb5: 0.72 	gb6: 0.55 	gb7: 0.17 	gb8: 0.47 	gb9: 0.75 	gb10: 1.16 	gb11: -3.12 	gb12: 3.82 	gb13: -0.93 	gb14: 2.83 	gb15: -2.39 	gb16: -0.75 	gb17: -4.19 	gb18: 0.23 	gb19: -0.03
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.81 	ga1: 3.56 	ga2: 0.02 	ga3: 0.34 	ga4: 0.00 	ga5: 0.40 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.75 	gb1: 0.55 	gb2: 0.45 	gb3: 0.16 	gb4: 0.28 	gb5: 0.18 	gb6: 0.87 	gb7: 0.54 	gb8: 0.13 	gb9: 0.16 	gb10: 3.17 	gb11: -1.52 	gb12: 3.74 	gb13: -2.71 	gb14: 2.62 	gb15: 0.33 	gb16: 0.12 	gb17: 2.74 	gb18: 0.97 	gb19: 2.10
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.80 	ga1: 1.19 	ga2: 0.00 	ga3: 0.34 	ga4: 0.31 	ga5: 0.40 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.19 	gb0: 0.24 	gb1: 0.67 	gb2: 0.63 	gb3: 0.72 	gb4: 0.66 	gb5: 0.74 	gb6: 0.78 	gb7: 0.69 	gb8: 0.54 	gb9: 0.33 	gb10: 3.96 	gb11: 1.46 	gb12: 0.09 	gb13: -2.26 	gb14: -1.87 	gb15: 0.20 	gb16: -3.11 	gb17: -0.57 	gb18: 1.65 	gb19: -2.51
