QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 70
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 60
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 2
	Repetition 0
		Population 0
			Robot 6 	f: 270.57 	mf: 215.00
			Robot 7 	f: 270.87 	mf: 192.80
			Robot 8 	f: 150.85 	mf: 233.80
			Robot 9 	f: 325.57 	mf: 132.00
		Population 17
			Robot 0 	f: 350.85 	mf: 246.00
			Robot 1 	f: 292.52 	mf: 296.20
			Robot 2 	f: 357.05 	mf: 213.40
			Robot 3 	f: 319.35 	mf: 267.60
			Robot 4 	f: 350.16 	mf: 282.20
			Robot 5 	f: -745.49 	mf: 84.20
			Robot 6 	f: 340.89 	mf: 224.80
			Robot 7 	f: 335.25 	mf: 198.20
			Robot 8 	f: 271.87 	mf: 224.20
			Robot 9 	f: 349.72 	mf: 136.80
		Population 18
			Robot 0 	f: 299.05 	mf: 242.60
			Robot 1 	f: 326.31 	mf: 297.80
			Robot 2 	f: 325.85 	mf: 217.60
			Robot 3 	f: 268.98 	mf: 261.20
			Robot 4 	f: 358.27 	mf: 289.40
			Robot 5 	f: 274.52 	mf: 100.40
			Robot 6 	f: 266.80 	mf: 236.20
			Robot 7 	f: 298.46 	mf: 195.60
			Robot 8 	f: -1246.40 	mf: -62.00
			Robot 9 	f: -1246.28 	mf: -172.20
		Population 19
			Robot 0 	f: 359.64 	mf: 246.20
			Robot 1 	f: 362.87 	mf: 307.60
			Robot 2 	f: 197.04 	mf: 232.20
			Robot 3 	f: 359.84 	mf: 266.20
			Robot 4 	f: 339.70 	mf: 293.20
			Robot 5 	f: 305.04 	mf: 94.60
			Robot 6 	f: 341.37 	mf: 299.80
			Robot 7 	f: 367.38 	mf: 264.00
			Robot 8 	f: 229.19 	mf: -81.40
			Robot 9 	f: 311.85 	mf: -18.00
		Population 20
			Robot 0 	f: 280.64 	mf: 329.40
			Robot 1 	f: 328.01 	mf: 303.60
			Robot 2 	f: 293.39 	mf: 287.60
			Robot 3 	f: 342.15 	mf: 262.60
			Robot 4 	f: 343.31 	mf: 328.60
			Robot 5 	f: 318.10 	mf: 94.20
			Robot 6 	f: 336.76 	mf: 310.60
			Robot 7 	f: 333.56 	mf: 320.60
			Robot 8 	f: 336.26 	mf: -52.00
			Robot 9 	f: 347.06 	mf: 17.20
		Population 21
			Robot 0 	f: 329.43 	mf: 323.40
			Robot 1 	f: 315.82 	mf: 324.60
			Robot 2 	f: 303.73 	mf: 295.00
			Robot 3 	f: 334.76 	mf: 324.40
			Robot 4 	f: 350.29 	mf: 348.00
			Robot 5 	f: 327.97 	mf: 95.80
			Robot 6 	f: 306.10 	mf: 317.80
			Robot 7 	f: 162.40 	mf: 299.00
			Robot 8 	f: -597.57 	mf: -201.40
			Robot 9 	f: 312.73 	mf: 14.60
		Population 22
			Robot 0 	f: 353.52 	mf: 324.00
			Robot 1 	f: 292.47 	mf: 324.60
			Robot 2 	f: 268.83 	mf: 277.20
			Robot 3 	f: 314.83 	mf: 323.40
			Robot 4 	f: 318.94 	mf: 341.60
			Robot 5 	f: 335.21 	mf: 311.80
			Robot 6 	f: 295.23 	mf: 308.80
			Robot 7 	f: -1889.16 	mf: -145.80
			Robot 8 	f: 216.73 	mf: -212.40
			Robot 9 	f: -1877.83 	mf: -430.60
		Population 23
			Robot 0 	f: 293.80 	mf: 322.80
			Robot 1 	f: 302.59 	mf: 319.80
			Robot 2 	f: 294.64 	mf: 271.00
			Robot 3 	f: 266.96 	mf: 323.00
			Robot 4 	f: 331.69 	mf: 336.20
			Robot 5 	f: 295.44 	mf: 316.00
			Robot 6 	f: 367.86 	mf: 329.00
			Robot 7 	f: 254.49 	mf: -154.60
			Robot 8 	f: 221.61 	mf: 81.00
			Robot 9 	f: 314.02 	mf: -118.60
		Population 24
			Robot 0 	f: 305.63 	mf: 312.00
			Robot 1 	f: 280.11 	mf: 303.40
			Robot 2 	f: 328.88 	mf: 297.20
			Robot 3 	f: 251.77 	mf: 301.40
			Robot 4 	f: 319.18 	mf: 332.20
			Robot 5 	f: 342.92 	mf: 323.40
			Robot 6 	f: 344.27 	mf: 329.60
			Robot 7 	f: 257.43 	mf: -176.60
			Robot 8 	f: 298.29 	mf: 94.80
			Robot 9 	f: 123.33 	mf: -156.20
		Population 25
			Robot 0 	f: 315.28 	mf: 319.00
			Robot 1 	f: 309.43 	mf: 299.60
			Robot 2 	f: 199.29 	mf: 278.40
			Robot 3 	f: 326.09 	mf: 298.20
			Robot 4 	f: 341.24 	mf: 331.80
			Robot 5 	f: 324.00 	mf: 324.40
			Robot 6 	f: 361.10 	mf: 334.60
			Robot 7 	f: 192.81 	mf: -204.80
			Robot 8 	f: 335.30 	mf: 94.60
			Robot 9 	f: 353.30 	mf: -155.00
		Population 26
			Robot 0 	f: 298.21 	mf: 312.80
			Robot 1 	f: 264.38 	mf: 289.40
			Robot 2 	f: 298.39 	mf: 277.40
			Robot 3 	f: 264.72 	mf: 284.20
			Robot 4 	f: 282.07 	mf: 318.20
			Robot 5 	f: 256.13 	mf: 310.20
			Robot 6 	f: 212.83 	mf: 315.80
			Robot 7 	f: 323.89 	mf: -172.60
			Robot 8 	f: 253.72 	mf: 264.60
			Robot 9 	f: 342.31 	mf: -149.00
		Population 27
			Robot 0 	f: 282.60 	mf: 298.60
			Robot 1 	f: 0.72 	mf: 231.00
			Robot 2 	f: 300.34 	mf: 283.80
			Robot 3 	f: 204.14 	mf: 262.20
			Robot 4 	f: 361.09 	mf: 326.80
			Robot 5 	f: 285.47 	mf: 300.20
			Robot 6 	f: 309.78 	mf: 318.60
			Robot 7 	f: 362.05 	mf: 277.60
			Robot 8 	f: 358.79 	mf: 293.00
			Robot 9 	f: 360.90 	mf: 298.40
		Population 28
			Robot 0 	f: 322.20 	mf: 304.40
			Robot 1 	f: 295.84 	mf: 229.60
			Robot 2 	f: 330.18 	mf: 291.00
			Robot 3 	f: 266.58 	mf: 262.20
			Robot 4 	f: 325.83 	mf: 325.60
			Robot 5 	f: 307.91 	mf: 302.60
			Robot 6 	f: 306.62 	mf: 306.40
			Robot 7 	f: 276.65 	mf: 282.00
			Robot 8 	f: 336.93 	mf: 316.00
