QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
		Population 2
			Robot 0 	f: 697.62 	mf: 232.33 	ga0: 0.74 	ga1: 2.01 	ga2: 0.00 	ga3: 0.38 	ga4: 0.36 	ga5: 0.00 	ga6: 0.55 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.11 	ga11: 0.39 	gb0: 0.68 	gb1: 0.29 	gb2: 0.80 	gb3: 0.80 	gb4: 0.60 	gb5: 0.25 	gb6: 0.12 	gb7: 0.12 	gb8: 0.39 	gb9: 0.42 	gb10: -2.74 	gb11: 2.88 	gb12: -1.73 	gb13: -0.57 	gb14: -1.37 	gb15: -1.23 	gb16: -2.73 	gb17: 3.76 	gb18: 1.44 	gb19: -1.89
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.26 	ga1: 2.61 	ga2: 0.00 	ga3: 0.38 	ga4: 0.07 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.39 	gb0: 0.77 	gb1: 0.25 	gb2: 0.66 	gb3: 0.45 	gb4: 0.61 	gb5: 0.31 	gb6: 0.72 	gb7: 0.58 	gb8: 0.15 	gb9: 0.87 	gb10: 1.16 	gb11: 0.82 	gb12: -0.70 	gb13: 3.53 	gb14: -3.43 	gb15: 2.03 	gb16: -3.26 	gb17: 1.20 	gb18: -1.54 	gb19: -2.26
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.87 	ga1: 1.26 	ga2: 0.12 	ga3: 0.52 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.18 	ga8: 0.14 	ga9: 0.00 	ga10: 0.00 	ga11: 0.39 	gb0: 0.29 	gb1: 0.53 	gb2: 0.88 	gb3: 0.33 	gb4: 0.60 	gb5: 0.45 	gb6: 0.82 	gb7: 0.23 	gb8: 0.26 	gb9: 0.61 	gb10: -0.53 	gb11: -3.18 	gb12: 1.10 	gb13: -2.89 	gb14: -0.77 	gb15: 4.31 	gb16: 0.04 	gb17: 1.34 	gb18: 3.10 	gb19: 2.21
			Robot 3 	f: 1640.37 	mf: 546.67 	ga0: 0.78 	ga1: 1.26 	ga2: 0.00 	ga3: 0.38 	ga4: 0.00 	ga5: 0.08 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.75 	ga10: 0.00 	ga11: 0.24 	gb0: 0.90 	gb1: 0.24 	gb2: 0.14 	gb3: 0.28 	gb4: 0.30 	gb5: 0.57 	gb6: 0.75 	gb7: 0.84 	gb8: 0.72 	gb9: 0.75 	gb10: 0.41 	gb11: 1.19 	gb12: -0.97 	gb13: 2.97 	gb14: 3.93 	gb15: 1.10 	gb16: -1.20 	gb17: 3.68 	gb18: 3.26 	gb19: -0.52
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.87 	ga1: 2.19 	ga2: 0.00 	ga3: 0.38 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.39 	gb0: 0.67 	gb1: 0.55 	gb2: 0.81 	gb3: 0.52 	gb4: 0.73 	gb5: 0.19 	gb6: 0.68 	gb7: 0.87 	gb8: 0.48 	gb9: 0.26 	gb10: 1.85 	gb11: 1.22 	gb12: -0.63 	gb13: -2.87 	gb14: -0.98 	gb15: -1.75 	gb16: -1.30 	gb17: 0.80 	gb18: 4.06 	gb19: 2.95
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.47 	ga1: 0.39 	ga2: 0.00 	ga3: 0.38 	ga4: 0.00 	ga5: 0.14 	ga6: 0.74 	ga7: 0.00 	ga8: 0.35 	ga9: 0.49 	ga10: 0.19 	ga11: 0.47 	gb0: 0.84 	gb1: 0.49 	gb2: 0.84 	gb3: 0.34 	gb4: 0.43 	gb5: 0.68 	gb6: 0.82 	gb7: 0.84 	gb8: 0.20 	gb9: 0.16 	gb10: -3.24 	gb11: 3.72 	gb12: 2.75 	gb13: 1.08 	gb14: -1.60 	gb15: 1.50 	gb16: -3.70 	gb17: 1.55 	gb18: 0.98 	gb19: 3.48
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.41 	ga1: 1.67 	ga2: 0.00 	ga3: 0.38 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.39 	gb0: 0.90 	gb1: 0.62 	gb2: 0.33 	gb3: 0.43 	gb4: 0.35 	gb5: 0.25 	gb6: 0.68 	gb7: 0.46 	gb8: 0.84 	gb9: 0.13 	gb10: 3.22 	gb11: 1.20 	gb12: -3.14 	gb13: -1.28 	gb14: -1.42 	gb15: -0.21 	gb16: -2.86 	gb17: -2.48 	gb18: -1.15 	gb19: -1.54
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.45 	ga1: 1.95 	ga2: 0.00 	ga3: 0.38 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.39 	ga9: 0.00 	ga10: 0.50 	ga11: 0.39 	gb0: 0.89 	gb1: 0.88 	gb2: 0.60 	gb3: 0.67 	gb4: 0.82 	gb5: 0.91 	gb6: 0.24 	gb7: 0.26 	gb8: 0.15 	gb9: 0.83 	gb10: -3.75 	gb11: 3.97 	gb12: -1.16 	gb13: -2.32 	gb14: -3.59 	gb15: -2.59 	gb16: 1.23 	gb17: -1.44 	gb18: 0.62 	gb19: 1.03
			Robot 8 	f: 1076.78 	mf: 713.00 	ga0: 0.49 	ga1: 0.22 	ga2: 0.00 	ga3: 0.59 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.61 	gb0: 0.87 	gb1: 0.71 	gb2: 0.60 	gb3: 0.17 	gb4: 0.23 	gb5: 0.79 	gb6: 0.31 	gb7: 0.72 	gb8: 0.80 	gb9: 0.41 	gb10: 1.34 	gb11: 1.26 	gb12: -1.23 	gb13: -1.96 	gb14: 3.13 	gb15: 1.22 	gb16: 3.28 	gb17: 0.90 	gb18: 1.68 	gb19: -1.43
