QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 40
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
		Population 2
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.25 	ga1: 4.64 	ga2: 0.00 	ga3: 0.00 	ga4: 0.33 	ga5: 0.44 	ga6: 0.00 	ga7: 0.01 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.03 	gb0: 0.21 	gb1: 0.23 	gb2: 0.54 	gb3: 0.27 	gb4: 0.40 	gb5: 0.28 	gb6: 0.80 	gb7: 0.73 	gb8: 0.84 	gb9: 0.56 	gb10: 1.52 	gb11: -2.16 	gb12: -1.43 	gb13: -0.79 	gb14: 0.61 	gb15: 1.78 	gb16: 1.23 	gb17: 2.81 	gb18: -1.60 	gb19: -0.89
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.95 	ga1: 4.06 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.44 	ga6: 0.00 	ga7: 0.22 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.25 	gb1: 0.28 	gb2: 0.68 	gb3: 0.85 	gb4: 0.55 	gb5: 0.57 	gb6: 0.41 	gb7: 0.23 	gb8: 0.21 	gb9: 0.48 	gb10: 1.46 	gb11: 3.86 	gb12: 3.05 	gb13: -1.76 	gb14: 3.49 	gb15: 3.99 	gb16: 0.39 	gb17: -1.36 	gb18: -4.03 	gb19: 2.83
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.02 	ga1: 4.36 	ga2: 0.00 	ga3: 0.05 	ga4: 0.00 	ga5: 0.44 	ga6: 0.00 	ga7: 0.55 	ga8: 0.12 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.29 	gb1: 0.38 	gb2: 0.60 	gb3: 0.33 	gb4: 0.69 	gb5: 0.77 	gb6: 0.42 	gb7: 0.65 	gb8: 0.23 	gb9: 0.89 	gb10: -0.62 	gb11: -1.97 	gb12: 3.76 	gb13: -2.09 	gb14: 3.43 	gb15: -1.33 	gb16: 1.29 	gb17: -3.93 	gb18: -2.66 	gb19: 3.43
			Robot 3 	f: 1404.65 	mf: 661.67 	ga0: 0.93 	ga1: 5.43 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.68 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.18 	gb0: 0.61 	gb1: 0.62 	gb2: 0.75 	gb3: 0.80 	gb4: 0.26 	gb5: 0.45 	gb6: 0.16 	gb7: 0.56 	gb8: 0.48 	gb9: 0.81 	gb10: -1.99 	gb11: 3.47 	gb12: -0.26 	gb13: -1.27 	gb14: 3.40 	gb15: 2.99 	gb16: 0.85 	gb17: -1.71 	gb18: -1.24 	gb19: -2.24
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 1.06 	ga1: 1.37 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.44 	ga6: 0.00 	ga7: 0.09 	ga8: 0.00 	ga9: 0.00 	ga10: 0.19 	ga11: 0.26 	gb0: 0.51 	gb1: 0.44 	gb2: 0.23 	gb3: 0.75 	gb4: 0.87 	gb5: 0.39 	gb6: 0.46 	gb7: 0.42 	gb8: 0.15 	gb9: 0.53 	gb10: 0.56 	gb11: -0.44 	gb12: -0.26 	gb13: 0.48 	gb14: 1.70 	gb15: -3.45 	gb16: 2.41 	gb17: 1.44 	gb18: -2.28 	gb19: -2.36
			Robot 5 	f: 0.00 	mf: 129.33 	ga0: 1.20 	ga1: 3.52 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.44 	ga6: 0.00 	ga7: 0.00 	ga8: 0.50 	ga9: 0.00 	ga10: 0.56 	ga11: 0.00 	gb0: 0.83 	gb1: 0.58 	gb2: 0.67 	gb3: 0.77 	gb4: 0.56 	gb5: 0.79 	gb6: 0.74 	gb7: 0.31 	gb8: 0.41 	gb9: 0.44 	gb10: -3.11 	gb11: 3.58 	gb12: 2.79 	gb13: -3.32 	gb14: 0.19 	gb15: -0.65 	gb16: 2.15 	gb17: -2.95 	gb18: 1.62 	gb19: -4.17
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 1.15 	ga1: 2.98 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.44 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.15 	gb0: 0.68 	gb1: 0.88 	gb2: 0.17 	gb3: 0.75 	gb4: 0.26 	gb5: 0.83 	gb6: 0.22 	gb7: 0.66 	gb8: 0.68 	gb9: 0.77 	gb10: -0.15 	gb11: 0.39 	gb12: 0.66 	gb13: -2.39 	gb14: 4.12 	gb15: -1.12 	gb16: 2.32 	gb17: 1.41 	gb18: 2.42 	gb19: -1.67
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.13 	ga1: 4.60 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.44 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.76 	gb1: 0.74 	gb2: 0.40 	gb3: 0.22 	gb4: 0.27 	gb5: 0.93 	gb6: 0.32 	gb7: 0.87 	gb8: 0.39 	gb9: 0.59 	gb10: 1.45 	gb11: -1.12 	gb12: -1.97 	gb13: 0.29 	gb14: -2.93 	gb15: -3.88 	gb16: 0.44 	gb17: 3.07 	gb18: 2.05 	gb19: -2.06
			Robot 8 	f: 957.20 	mf: 722.67 	ga0: 1.19 	ga1: 3.72 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.69 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.45 	gb1: 0.31 	gb2: 0.89 	gb3: 0.62 	gb4: 0.30 	gb5: 0.71 	gb6: 0.58 	gb7: 0.29 	gb8: 0.20 	gb9: 0.77 	gb10: 4.24 	gb11: 2.07 	gb12: -1.18 	gb13: -2.42 	gb14: 2.21 	gb15: 0.68 	gb16: -1.08 	gb17: 1.29 	gb18: 1.85 	gb19: -2.71
