QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 11 	f: 0.00 	ga0: 0.51 	ga1: 2.35 	ga2: 0.00 	ga3: 0.12 	ga4: 0.22 	ga5: 0.00 	ga6: 0.00 	gb0: 0.13 	gb1: 0.56 	gb2: 0.42 	gb3: 0.09 	gb4: 0.02 	gb5: 1.46 	gb6: 1.54 	gb7: 0.54 	gb8: -2.74 	gb9: 1.32
			Robot 12 	f: 0.00 	ga0: 0.64 	ga1: 0.73 	ga2: 0.00 	ga3: 0.17 	ga4: 0.00 	ga5: 0.15 	ga6: 0.00 	gb0: 0.08 	gb1: -0.04 	gb2: 0.51 	gb3: 0.05 	gb4: -0.51 	gb5: 0.99 	gb6: 1.75 	gb7: 0.25 	gb8: -3.59 	gb9: 1.84
			Robot 13 	f: 0.00 	ga0: 0.59 	ga1: 2.18 	ga2: 0.00 	ga3: 0.08 	ga4: 0.21 	ga5: 0.00 	ga6: 0.00 	gb0: 0.34 	gb1: -0.22 	gb2: 0.02 	gb3: 0.03 	gb4: -0.23 	gb5: 0.43 	gb6: 1.17 	gb7: 0.15 	gb8: -3.12 	gb9: 2.26
			Robot 14 	f: 0.00 	ga0: 0.55 	ga1: 0.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.83 	gb1: 0.31 	gb2: 0.78 	gb3: 0.83 	gb4: 0.27 	gb5: 3.72 	gb6: 6.01 	gb7: -0.79 	gb8: -8.66 	gb9: 4.82
		Population 2
			Robot 0 	f: 0.00 	ga0: 0.54 	ga1: 0.98 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.55 	gb1: 0.25 	gb2: 0.03 	gb3: -0.16 	gb4: -0.32 	gb5: 0.87 	gb6: 1.28 	gb7: -0.70 	gb8: -2.44 	gb9: 1.04
			Robot 1 	f: 0.00 	ga0: 0.55 	ga1: 1.40 	ga2: 0.00 	ga3: 0.04 	ga4: 0.05 	ga5: 0.23 	ga6: 0.00 	gb0: 0.87 	gb1: -0.22 	gb2: 0.28 	gb3: 0.05 	gb4: 0.52 	gb5: 1.01 	gb6: 2.11 	gb7: -0.20 	gb8: -2.25 	gb9: 1.81
			Robot 2 	f: 0.00 	ga0: 0.51 	ga1: 1.76 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.06 	gb0: 0.50 	gb1: 0.15 	gb2: 0.31 	gb3: 0.20 	gb4: -0.09 	gb5: 1.46 	gb6: 1.88 	gb7: -0.15 	gb8: -2.73 	gb9: 1.25
			Robot 3 	f: 0.00 	ga0: 0.53 	ga1: 1.11 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.03 	ga6: 0.08 	gb0: 0.69 	gb1: -0.40 	gb2: 0.38 	gb3: 0.51 	gb4: 0.20 	gb5: 1.31 	gb6: 1.95 	gb7: 0.11 	gb8: -2.99 	gb9: 1.65
			Robot 4 	f: 0.00 	ga0: 0.56 	ga1: 0.47 	ga2: 0.09 	ga3: 0.00 	ga4: 0.00 	ga5: 0.01 	ga6: 0.00 	gb0: 0.58 	gb1: 0.02 	gb2: 0.10 	gb3: 0.25 	gb4: 0.25 	gb5: 1.03 	gb6: 2.34 	gb7: -0.29 	gb8: -2.77 	gb9: 1.65
			Robot 5 	f: 0.00 	ga0: 0.53 	ga1: 0.89 	ga2: 0.00 	ga3: 0.28 	ga4: 0.03 	ga5: 0.00 	ga6: 0.08 	gb0: 0.06 	gb1: 0.66 	gb2: 0.40 	gb3: 0.19 	gb4: 0.33 	gb5: 1.33 	gb6: 2.13 	gb7: -0.19 	gb8: -3.16 	gb9: 1.59
