QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 6000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.2	 nc: 0.6	 nm: 0.3	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
		Population 2
			Robot 0 	f: 5970.51 	mf: 1990.00 	ga0: 0.26 	ga1: 0.51 	ga2: 0.00 	ga3: 0.00 	ga4: 0.45 	ga5: 0.00 	ga6: 0.63 	ga7: 0.00 	ga8: 0.00 	ga9: 0.43 	ga10: 0.00 	ga11: 0.00 	gb0: 0.23 	gb1: 0.72 	gb2: 0.40 	gb3: 0.08 	gb4: 0.74 	gb5: 0.73 	gb6: 0.38 	gb7: 0.64 	gb8: 0.60 	gb9: 0.32 	gb10: -0.68 	gb11: 1.71 	gb12: 2.17 	gb13: 0.22 	gb14: 0.51 	gb15: 0.98 	gb16: 2.67 	gb17: 3.42 	gb18: 1.49 	gb19: 1.22
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.81 	ga1: 4.23 	ga2: 0.12 	ga3: 0.13 	ga4: 0.30 	ga5: 0.69 	ga6: 0.03 	ga7: 0.46 	ga8: 0.18 	ga9: 0.36 	ga10: 0.00 	ga11: 0.28 	gb0: 0.46 	gb1: 0.56 	gb2: 0.24 	gb3: 0.25 	gb4: 0.68 	gb5: 0.32 	gb6: 0.77 	gb7: 0.69 	gb8: 0.64 	gb9: 0.70 	gb10: 1.24 	gb11: 0.88 	gb12: 1.06 	gb13: 0.97 	gb14: 0.57 	gb15: -0.63 	gb16: -1.51 	gb17: 2.85 	gb18: 1.44 	gb19: -2.86
			Robot 2 	f: 2913.59 	mf: 971.00 	ga0: 0.96 	ga1: 5.70 	ga2: 0.57 	ga3: 0.00 	ga4: 0.56 	ga5: 0.23 	ga6: 0.06 	ga7: 0.66 	ga8: 0.18 	ga9: 0.62 	ga10: 0.00 	ga11: 0.00 	gb0: 0.10 	gb1: 0.25 	gb2: 0.50 	gb3: 0.29 	gb4: 0.18 	gb5: 0.52 	gb6: 0.49 	gb7: 0.19 	gb8: 0.68 	gb9: 0.66 	gb10: 1.10 	gb11: -2.28 	gb12: -2.22 	gb13: 1.02 	gb14: -1.74 	gb15: 3.60 	gb16: 3.39 	gb17: 4.02 	gb18: 0.04 	gb19: -3.81
			Robot 3 	f: 5970.51 	mf: 1990.00 	ga0: 0.78 	ga1: 3.50 	ga2: 0.18 	ga3: 0.20 	ga4: 0.17 	ga5: 0.06 	ga6: 0.02 	ga7: 0.36 	ga8: 0.27 	ga9: 0.08 	ga10: 0.00 	ga11: 0.41 	gb0: 0.44 	gb1: 0.38 	gb2: 0.50 	gb3: 0.48 	gb4: 0.37 	gb5: 0.43 	gb6: 0.60 	gb7: 0.74 	gb8: 0.57 	gb9: 0.29 	gb10: -1.74 	gb11: -0.51 	gb12: -0.13 	gb13: 0.98 	gb14: -0.72 	gb15: 2.54 	gb16: -0.61 	gb17: -1.29 	gb18: -0.78 	gb19: -0.75
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.81 	ga1: 4.23 	ga2: 0.12 	ga3: 0.13 	ga4: 0.30 	ga5: 0.12 	ga6: 0.03 	ga7: 0.46 	ga8: 0.40 	ga9: 0.17 	ga10: 0.00 	ga11: 0.28 	gb0: 0.12 	gb1: 0.40 	gb2: 0.41 	gb3: 0.60 	gb4: 0.66 	gb5: 0.40 	gb6: 0.46 	gb7: 0.25 	gb8: 0.17 	gb9: 0.22 	gb10: 2.90 	gb11: 2.07 	gb12: 0.67 	gb13: 3.44 	gb14: -2.69 	gb15: 1.13 	gb16: -0.98 	gb17: -2.10 	gb18: -2.49 	gb19: 2.53
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.85 	ga1: 4.97 	ga2: 0.47 	ga3: 0.07 	ga4: 0.43 	ga5: 0.17 	ga6: 0.05 	ga7: 0.56 	ga8: 0.09 	ga9: 0.25 	ga10: 0.00 	ga11: 0.14 	gb0: 0.46 	gb1: 0.42 	gb2: 0.61 	gb3: 0.46 	gb4: 0.37 	gb5: 0.61 	gb6: 0.56 	gb7: 0.58 	gb8: 0.69 	gb9: 0.31 	gb10: -2.10 	gb11: -0.45 	gb12: -3.27 	gb13: 3.32 	gb14: -2.61 	gb15: 1.15 	gb16: -1.12 	gb17: -2.30 	gb18: 3.13 	gb19: 3.02
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.81 	ga1: 3.37 	ga2: 0.12 	ga3: 0.13 	ga4: 0.30 	ga5: 0.57 	ga6: 0.03 	ga7: 0.46 	ga8: 0.18 	ga9: 0.17 	ga10: 0.00 	ga11: 0.28 	gb0: 0.36 	gb1: 0.27 	gb2: 0.56 	gb3: 0.39 	gb4: 0.33 	gb5: 0.33 	gb6: 0.66 	gb7: 0.38 	gb8: 0.63 	gb9: 0.25 	gb10: -0.42 	gb11: 1.02 	gb12: 3.10 	gb13: 3.24 	gb14: -2.86 	gb15: 3.34 	gb16: 2.44 	gb17: -1.82 	gb18: -0.28 	gb19: -2.42
			Robot 7 	f: -5761.50 	mf: 43.67 	ga0: 0.24 	ga1: 4.23 	ga2: 0.12 	ga3: 0.13 	ga4: 0.53 	ga5: 0.12 	ga6: 0.03 	ga7: 0.46 	ga8: 0.18 	ga9: 0.17 	ga10: 0.00 	ga11: 0.28 	gb0: 0.22 	gb1: 0.15 	gb2: 0.34 	gb3: 0.70 	gb4: 0.70 	gb5: 0.76 	gb6: 0.57 	gb7: 0.26 	gb8: 0.34 	gb9: 0.69 	gb10: 1.43 	gb11: 2.76 	gb12: -1.64 	gb13: -2.85 	gb14: -0.26 	gb15: -2.20 	gb16: -2.18 	gb17: -3.23 	gb18: -0.55 	gb19: 3.06
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.95 	ga1: 4.97 	ga2: 0.06 	ga3: 0.07 	ga4: 0.43 	ga5: 0.17 	ga6: 0.07 	ga7: 0.56 	ga8: 0.09 	ga9: 0.25 	ga10: 0.18 	ga11: 0.14 	gb0: 0.09 	gb1: 0.58 	gb2: 0.21 	gb3: 0.55 	gb4: 0.77 	gb5: 0.41 	gb6: 0.92 	gb7: 0.35 	gb8: 0.18 	gb9: 0.17 	gb10: 0.03 	gb11: 2.34 	gb12: -0.01 	gb13: 1.86 	gb14: 0.53 	gb15: 0.42 	gb16: -0.05 	gb17: -0.13 	gb18: 3.50 	gb19: 2.35
