QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 120
EnvMutationRate: 0.2

Environment 0
	Repetition 0
		Population 0
			Robot 2 	f:132.39 	mf: 156.51 	g0: 2.10 	g1: 1.85 	g2: 0.82 	g3: 3.47 	g4: 55.78
			Robot 3 	f:202.18 	mf: 185.85 	g0: 2.51 	g1: 1.05 	g2: 0.81 	g3: 6.83 	g4: 60.83
			Robot 4 	f:93.65 	mf: 176.42 	g0: 1.55 	g1: 1.78 	g2: 0.20 	g3: 5.06 	g4: 52.89
			Robot 5 	f:231.89 	mf: 183.74 	g0: 2.64 	g1: 2.19 	g2: 0.80 	g3: 8.13 	g4: 20.24
			Robot 6 	f:180.46 	mf: 186.86 	g0: 2.75 	g1: 1.90 	g2: 0.83 	g3: 4.17 	g4: 42.76
			Robot 7 	f:222.13 	mf: 75.69 	g0: 0.56 	g1: 0.53 	g2: 0.78 	g3: 5.03 	g4: 30.73
			Robot 8 	f:116.79 	mf: -214.02 	g0: 2.50 	g1: 1.86 	g2: 0.80 	g3: 5.75 	g4: 41.81
			Robot 9 	f:-228.33 	mf: 27.45 	g0: 2.75 	g1: 0.23 	g2: 0.81 	g3: 4.00 	g4: 29.62
		Population 14
			Robot 0 	f:93.19 	mf: -196.08 	g0: 2.64 	g1: 1.54 	g2: 0.77 	g3: 7.71 	g4: 23.10
			Robot 1 	f:39.80 	mf: 116.82 	g0: 2.64 	g1: 1.97 	g2: 0.95 	g3: 7.81 	g4: 21.44
			Robot 2 	f:168.57 	mf: 134.82 	g0: 0.95 	g1: 2.41 	g2: 0.73 	g3: 1.64 	g4: 22.73
			Robot 3 	f:167.66 	mf: 203.95 	g0: 2.76 	g1: 2.11 	g2: 0.14 	g3: 5.71 	g4: 15.07
			Robot 4 	f:50.95 	mf: 128.85 	g0: 2.12 	g1: 0.56 	g2: 0.76 	g3: 7.91 	g4: 8.60
			Robot 5 	f:183.13 	mf: 216.17 	g0: 2.64 	g1: 2.19 	g2: 0.80 	g3: 8.13 	g4: 20.24
			Robot 6 	f:-10.16 	mf: 135.67 	g0: 1.82 	g1: 1.70 	g2: 0.16 	g3: 7.85 	g4: 46.75
			Robot 7 	f:203.63 	mf: 148.68 	g0: 0.56 	g1: 0.53 	g2: 0.78 	g3: 5.03 	g4: 30.73
			Robot 8 	f:148.13 	mf: -125.18 	g0: 0.69 	g1: 2.16 	g2: 0.79 	g3: 7.96 	g4: 21.75
			Robot 9 	f:192.67 	mf: 13.90 	g0: 2.75 	g1: 0.23 	g2: 0.81 	g3: 4.00 	g4: 29.62
		Population 15
			Robot 0 	f:107.30 	mf: -168.51 	g0: 1.57 	g1: 0.60 	g2: 0.53 	g3: 5.16 	g4: 80.44
			Robot 1 	f:73.17 	mf: 85.68 	g0: 0.36 	g1: 2.02 	g2: 0.79 	g3: 8.16 	g4: 23.15
			Robot 2 	f:169.78 	mf: 156.92 	g0: 1.56 	g1: 2.25 	g2: 0.28 	g3: 4.79 	g4: 30.17
			Robot 3 	f:6.40 	mf: 125.41 	g0: 0.71 	g1: 0.64 	g2: 0.73 	g3: 8.78 	g4: 29.63
			Robot 4 	f:218.92 	mf: 121.17 	g0: 2.12 	g1: 0.56 	g2: 0.76 	g3: 7.91 	g4: 8.60
			Robot 5 	f:28.74 	mf: 147.92 	g0: 2.06 	g1: 0.64 	g2: 0.78 	g3: 5.25 	g4: 51.52
			Robot 6 	f:44.97 	mf: 71.76 	g0: 0.65 	g1: 0.45 	g2: 0.83 	g3: 2.95 	g4: 33.58
			Robot 7 	f:181.35 	mf: 202.37 	g0: 0.56 	g1: 0.53 	g2: 0.78 	g3: 5.03 	g4: 30.73
			Robot 8 	f:221.76 	mf: 162.22 	g0: 0.69 	g1: 2.16 	g2: 0.79 	g3: 7.96 	g4: 21.75
			Robot 9 	f:-22.51 	mf: -19.39 	g0: 0.60 	g1: 2.62 	g2: 0.78 	g3: 6.18 	g4: 71.71
		Population 16
			Robot 0 	f:105.42 	mf: 101.97 	g0: 1.11 	g1: 1.24 	g2: 0.77 	g3: 7.25 	g4: 25.86
			Robot 1 	f:233.37 	mf: 115.45 	g0: 0.36 	g1: 2.02 	g2: 0.79 	g3: 8.16 	g4: 23.15
			Robot 2 	f:39.48 	mf: 125.94 	g0: 1.57 	g1: 2.47 	g2: 0.70 	g3: 7.74 	g4: 22.34
			Robot 3 	f:217.44 	mf: 130.50 	g0: 0.93 	g1: 2.02 	g2: 0.20 	g3: 3.11 	g4: 31.57
			Robot 4 	f:219.30 	mf: 163.06 	g0: 2.41 	g1: 0.80 	g2: 0.52 	g3: 5.67 	g4: 20.83
			Robot 5 	f:200.58 	mf: 137.49 	g0: 0.78 	g1: 2.14 	g2: 0.79 	g3: 0.74 	g4: 23.83
			Robot 6 	f:199.80 	mf: 78.20 	g0: 0.68 	g1: 2.04 	g2: 0.68 	g3: 5.27 	g4: 22.58
			Robot 7 	f:57.46 	mf: 147.48 	g0: 0.93 	g1: 2.05 	g2: 0.30 	g3: 2.91 	g4: 30.35
			Robot 8 	f:223.34 	mf: 197.74 	g0: 0.69 	g1: 2.16 	g2: 0.79 	g3: 7.96 	g4: 21.75
			Robot 9 	f:218.92 	mf: 129.69 	g0: 2.81 	g1: 2.20 	g2: 0.79 	g3: 8.43 	g4: 26.55
		Population 17
