QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 6000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.2	 nc: 0.6	 nm: 0.3	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
		Population 2
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.37 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.00 	ga5: 0.57 	ga6: 0.30 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.25 	gb0: 0.28 	gb1: 0.71 	gb2: 0.66 	gb3: 0.61 	gb4: 0.05 	gb5: 0.21 	gb6: 0.25 	gb7: 0.48 	gb8: 0.71 	gb9: 0.24 	gb10: -0.61 	gb11: 1.48 	gb12: 2.25 	gb13: -0.35 	gb14: -2.17 	gb15: -1.12 	gb16: -0.38 	gb17: 1.40 	gb18: -3.30 	gb19: 0.78
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 1.07 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.55 	ga10: 0.27 	ga11: 0.00 	gb0: 0.27 	gb1: 0.75 	gb2: 0.28 	gb3: 0.33 	gb4: 0.85 	gb5: 0.31 	gb6: 0.30 	gb7: 0.31 	gb8: 0.26 	gb9: 0.85 	gb10: 0.75 	gb11: -0.31 	gb12: 2.14 	gb13: 1.66 	gb14: 0.26 	gb15: -1.16 	gb16: -3.22 	gb17: 3.64 	gb18: 2.00 	gb19: 3.22
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.55 	ga10: 0.00 	ga11: 0.00 	gb0: 0.72 	gb1: 0.12 	gb2: 0.24 	gb3: 0.65 	gb4: 0.68 	gb5: 0.50 	gb6: 0.59 	gb7: 0.82 	gb8: 0.38 	gb9: 0.41 	gb10: -1.39 	gb11: 0.39 	gb12: 3.76 	gb13: -1.18 	gb14: 2.48 	gb15: -1.89 	gb16: -2.47 	gb17: 3.50 	gb18: 3.31 	gb19: 2.24
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.96 	ga2: 0.25 	ga3: 0.00 	ga4: 0.57 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.61 	ga9: 0.55 	ga10: 0.00 	ga11: 0.00 	gb0: 0.63 	gb1: 0.35 	gb2: 0.19 	gb3: 0.56 	gb4: 0.70 	gb5: 0.23 	gb6: 0.47 	gb7: 0.50 	gb8: 0.59 	gb9: 0.62 	gb10: 2.49 	gb11: -0.72 	gb12: -2.25 	gb13: 2.99 	gb14: -0.98 	gb15: 2.22 	gb16: 0.14 	gb17: -2.50 	gb18: -0.99 	gb19: 4.05
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.26 	ga2: 0.25 	ga3: 0.41 	ga4: 0.04 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.55 	ga10: 0.00 	ga11: 0.00 	gb0: 0.17 	gb1: 0.48 	gb2: 0.61 	gb3: 0.14 	gb4: 0.69 	gb5: 0.86 	gb6: 0.76 	gb7: 0.43 	gb8: 0.10 	gb9: 0.88 	gb10: 2.09 	gb11: -2.69 	gb12: -2.88 	gb13: -0.94 	gb14: -0.25 	gb15: 3.39 	gb16: 1.37 	gb17: -1.10 	gb18: 0.52 	gb19: 4.37
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.37 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.17 	ga8: 0.42 	ga9: 0.55 	ga10: 0.00 	ga11: 0.03 	gb0: 0.38 	gb1: 0.11 	gb2: 0.34 	gb3: 0.70 	gb4: 0.53 	gb5: 0.61 	gb6: 0.69 	gb7: 0.59 	gb8: 0.60 	gb9: 0.52 	gb10: -2.12 	gb11: -2.85 	gb12: 0.09 	gb13: 2.34 	gb14: -2.97 	gb15: -0.84 	gb16: 0.75 	gb17: -2.94 	gb18: 2.88 	gb19: 4.02
			Robot 6 	f: -19.40 	mf: -6.33 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.38 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.55 	ga10: 0.00 	ga11: 0.00 	gb0: 0.74 	gb1: 0.47 	gb2: 0.33 	gb3: 0.79 	gb4: 0.33 	gb5: 0.60 	gb6: 0.69 	gb7: 0.30 	gb8: 0.62 	gb9: 0.76 	gb10: -3.90 	gb11: 2.33 	gb12: 2.44 	gb13: 1.49 	gb14: -3.59 	gb15: -1.84 	gb16: 1.86 	gb17: 3.05 	gb18: 0.12 	gb19: 2.31
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.55 	ga10: 0.43 	ga11: 0.43 	gb0: 0.56 	gb1: 0.72 	gb2: 0.54 	gb3: 0.67 	gb4: 0.23 	gb5: 0.51 	gb6: 0.65 	gb7: 0.29 	gb8: 0.10 	gb9: 0.44 	gb10: -2.04 	gb11: -2.56 	gb12: 1.51 	gb13: -1.81 	gb14: -0.55 	gb15: -2.22 	gb16: -2.93 	gb17: -3.06 	gb18: -2.99 	gb19: 4.30
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.53 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.84 	ga10: 0.00 	ga11: 0.00 	gb0: 0.69 	gb1: 0.38 	gb2: 0.58 	gb3: 0.40 	gb4: 0.60 	gb5: 0.40 	gb6: 0.43 	gb7: 0.42 	gb8: 0.69 	gb9: 0.36 	gb10: 0.06 	gb11: 2.47 	gb12: 2.78 	gb13: -2.04 	gb14: 2.90 	gb15: 2.94 	gb16: -3.64 	gb17: -2.75 	gb18: 2.06 	gb19: -0.93
