QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
		Population 2
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.83 	ga1: 5.37 	ga2: 0.00 	ga3: 0.00 	ga4: 0.26 	ga5: 0.74 	ga6: 0.00 	ga7: 0.02 	ga8: 0.00 	ga9: 0.00 	ga10: 0.06 	ga11: 0.28 	gb0: 0.32 	gb1: 0.27 	gb2: 0.24 	gb3: 0.51 	gb4: 0.66 	gb5: 0.27 	gb6: 0.72 	gb7: 0.38 	gb8: 0.47 	gb9: 0.18 	gb10: -1.23 	gb11: -0.49 	gb12: -2.22 	gb13: 0.36 	gb14: 0.23 	gb15: 0.94 	gb16: 2.37 	gb17: 1.96 	gb18: 3.08 	gb19: -0.33
			Robot 1 	f: 1369.85 	mf: 456.33 	ga0: 0.77 	ga1: 7.04 	ga2: 0.00 	ga3: 0.00 	ga4: 0.64 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.16 	ga11: 0.70 	gb0: 0.30 	gb1: 0.28 	gb2: 0.57 	gb3: 0.52 	gb4: 0.74 	gb5: 0.22 	gb6: 0.38 	gb7: 0.72 	gb8: 0.83 	gb9: 0.75 	gb10: 2.79 	gb11: -2.43 	gb12: 2.49 	gb13: 1.84 	gb14: -3.57 	gb15: 3.10 	gb16: 0.87 	gb17: 2.33 	gb18: 2.85 	gb19: -1.34
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.66 	ga1: 7.45 	ga2: 0.00 	ga3: 0.00 	ga4: 0.26 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.32 	ga10: 0.06 	ga11: 0.28 	gb0: 0.11 	gb1: 0.25 	gb2: 0.60 	gb3: 0.75 	gb4: 0.41 	gb5: 0.86 	gb6: 0.33 	gb7: 0.48 	gb8: 0.26 	gb9: 0.16 	gb10: 2.32 	gb11: -0.03 	gb12: -2.67 	gb13: -0.66 	gb14: 0.38 	gb15: 2.73 	gb16: 0.75 	gb17: -3.52 	gb18: -2.90 	gb19: -2.07
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.74 	ga1: 5.36 	ga2: 0.16 	ga3: 0.00 	ga4: 0.26 	ga5: 0.00 	ga6: 0.00 	ga7: 0.13 	ga8: 0.00 	ga9: 0.00 	ga10: 0.06 	ga11: 0.28 	gb0: 0.39 	gb1: 0.63 	gb2: 0.74 	gb3: 0.75 	gb4: 0.64 	gb5: 0.11 	gb6: 0.67 	gb7: 0.35 	gb8: 0.63 	gb9: 0.86 	gb10: -1.11 	gb11: -1.99 	gb12: -1.17 	gb13: 3.31 	gb14: 0.08 	gb15: -1.87 	gb16: -1.13 	gb17: 3.86 	gb18: 0.97 	gb19: -2.49
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.74 	ga1: 5.07 	ga2: 0.07 	ga3: 0.00 	ga4: 0.26 	ga5: 0.00 	ga6: 0.16 	ga7: 0.35 	ga8: 0.27 	ga9: 0.25 	ga10: 0.06 	ga11: 0.28 	gb0: 0.12 	gb1: 0.08 	gb2: 0.47 	gb3: 0.73 	gb4: 0.39 	gb5: 0.61 	gb6: 0.32 	gb7: 0.16 	gb8: 0.40 	gb9: 0.77 	gb10: -3.51 	gb11: 2.77 	gb12: 1.09 	gb13: -1.02 	gb14: -2.42 	gb15: 0.28 	gb16: 3.29 	gb17: -2.75 	gb18: -3.24 	gb19: 2.33
			Robot 5 	f: 749.81 	mf: 249.67 	ga0: 0.52 	ga1: 6.20 	ga2: 0.00 	ga3: 0.00 	ga4: 0.36 	ga5: 0.00 	ga6: 0.00 	ga7: 0.49 	ga8: 0.00 	ga9: 0.00 	ga10: 0.06 	ga11: 0.75 	gb0: 0.39 	gb1: 0.09 	gb2: 0.36 	gb3: 0.50 	gb4: 0.86 	gb5: 0.79 	gb6: 0.75 	gb7: 0.65 	gb8: 0.47 	gb9: 0.22 	gb10: 0.29 	gb11: 0.36 	gb12: 3.16 	gb13: -3.97 	gb14: 2.88 	gb15: -1.36 	gb16: -2.76 	gb17: -3.50 	gb18: 2.64 	gb19: -3.25
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.59 	ga1: 7.34 	ga2: 0.00 	ga3: 0.00 	ga4: 0.26 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.06 	ga11: 0.28 	gb0: 0.67 	gb1: 0.27 	gb2: 0.86 	gb3: 0.63 	gb4: 0.27 	gb5: 0.75 	gb6: 0.73 	gb7: 0.62 	gb8: 0.47 	gb9: 0.10 	gb10: -3.37 	gb11: 1.46 	gb12: -1.10 	gb13: -1.56 	gb14: 3.59 	gb15: 2.44 	gb16: -0.91 	gb17: -2.90 	gb18: -1.12 	gb19: 3.56
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.80 	ga1: 7.41 	ga2: 0.00 	ga3: 0.00 	ga4: 0.26 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.20 	ga10: 0.06 	ga11: 0.28 	gb0: 0.71 	gb1: 0.24 	gb2: 0.67 	gb3: 0.55 	gb4: 0.52 	gb5: 0.59 	gb6: 0.61 	gb7: 0.78 	gb8: 0.29 	gb9: 0.35 	gb10: 2.43 	gb11: 2.65 	gb12: 3.23 	gb13: -3.45 	gb14: -4.53 	gb15: -1.94 	gb16: 0.65 	gb17: -0.90 	gb18: 0.03 	gb19: 1.89
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.65 	ga1: 1.05 	ga2: 0.00 	ga3: 0.00 	ga4: 0.26 	ga5: 0.00 	ga6: 0.05 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.06 	ga11: 0.28 	gb0: 0.43 	gb1: 0.49 	gb2: 0.12 	gb3: 0.14 	gb4: 0.50 	gb5: 0.25 	gb6: 0.36 	gb7: 0.88 	gb8: 0.21 	gb9: 0.45 	gb10: 2.87 	gb11: -2.59 	gb12: -2.80 	gb13: -1.53 	gb14: -0.36 	gb15: 1.54 	gb16: -0.76 	gb17: 4.15 	gb18: -3.16 	gb19: 2.43
