QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 12 	f: 0.00 	mf: 0.00 	ga0: 1.29 	ga1: 3.27 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.19 	ga6: 0.00 	ga7: 0.00 	ga8: 0.04 	ga9: 0.00 	ga10: 0.23 	ga11: 0.56 	gb0: 0.10 	gb1: 0.51 	gb2: 0.59 	gb3: 0.47 	gb4: 0.52 	gb5: 0.19 	gb6: 0.65 	gb7: 0.62 	gb8: 0.35 	gb9: 0.29 	gb10: -0.58 	gb11: -1.16 	gb12: -2.45 	gb13: 3.47 	gb14: 1.85 	gb15: 2.75 	gb16: 3.08 	gb17: 1.54 	gb18: -2.75 	gb19: -2.69
			Robot 13 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.67 	ga2: 0.19 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.19 	ga8: 0.04 	ga9: 0.00 	ga10: 0.33 	ga11: 0.00 	gb0: 0.47 	gb1: 0.48 	gb2: 0.74 	gb3: 0.15 	gb4: 0.23 	gb5: 0.87 	gb6: 0.70 	gb7: 0.40 	gb8: 0.69 	gb9: 0.47 	gb10: 0.23 	gb11: 0.75 	gb12: 4.00 	gb13: -1.66 	gb14: 0.97 	gb15: 2.34 	gb16: 3.53 	gb17: 1.90 	gb18: 4.14 	gb19: 4.40
			Robot 14 	f: 0.00 	mf: 0.00 	ga0: 1.02 	ga1: 6.07 	ga2: 0.00 	ga3: 0.00 	ga4: 0.55 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.04 	ga9: 0.00 	ga10: 0.23 	ga11: 0.00 	gb0: 0.32 	gb1: 0.18 	gb2: 0.32 	gb3: 0.26 	gb4: 0.37 	gb5: 0.23 	gb6: 0.82 	gb7: 0.39 	gb8: 0.68 	gb9: 0.76 	gb10: 3.31 	gb11: -3.54 	gb12: -0.99 	gb13: 1.07 	gb14: -3.10 	gb15: -0.55 	gb16: 4.39 	gb17: -4.28 	gb18: 2.30 	gb19: -3.38
		Population 2
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.19 	ga1: 4.92 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.62 	ga6: 0.00 	ga7: 0.00 	ga8: 0.07 	ga9: 0.07 	ga10: 0.37 	ga11: 0.00 	gb0: 0.63 	gb1: 0.30 	gb2: 0.21 	gb3: 0.81 	gb4: 0.74 	gb5: 0.27 	gb6: 0.66 	gb7: 0.81 	gb8: 0.39 	gb9: 0.70 	gb10: -1.47 	gb11: 3.28 	gb12: -2.19 	gb13: -3.19 	gb14: 1.83 	gb15: 2.00 	gb16: 2.73 	gb17: -0.22 	gb18: 2.38 	gb19: -1.46
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.80 	ga1: 4.73 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.62 	ga7: 0.14 	ga8: 0.07 	ga9: 0.00 	ga10: 0.37 	ga11: 0.00 	gb0: 0.87 	gb1: 0.57 	gb2: 0.90 	gb3: 0.64 	gb4: 0.79 	gb5: 0.78 	gb6: 0.10 	gb7: 0.52 	gb8: 0.57 	gb9: 0.87 	gb10: -2.91 	gb11: -3.68 	gb12: -2.75 	gb13: -1.61 	gb14: 2.86 	gb15: -3.95 	gb16: -1.27 	gb17: -0.33 	gb18: 2.77 	gb19: 3.01
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.85 	ga1: 5.63 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.07 	ga9: 0.00 	ga10: 0.37 	ga11: 0.02 	gb0: 0.32 	gb1: 0.31 	gb2: 0.78 	gb3: 0.64 	gb4: 0.38 	gb5: 0.80 	gb6: 0.28 	gb7: 0.78 	gb8: 0.10 	gb9: 0.78 	gb10: 2.15 	gb11: -0.50 	gb12: 2.16 	gb13: 2.67 	gb14: 2.97 	gb15: -0.98 	gb16: 4.15 	gb17: -3.48 	gb18: 4.06 	gb19: -2.04
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.06 	ga1: 4.49 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.07 	ga9: 0.00 	ga10: 0.37 	ga11: 0.00 	gb0: 0.27 	gb1: 0.61 	gb2: 0.64 	gb3: 0.22 	gb4: 0.54 	gb5: 0.84 	gb6: 0.56 	gb7: 0.55 	gb8: 0.43 	gb9: 0.57 	gb10: -1.13 	gb11: 1.42 	gb12: -3.77 	gb13: -2.41 	gb14: -2.95 	gb15: -3.66 	gb16: 0.18 	gb17: -0.93 	gb18: -2.08 	gb19: -1.37
			Robot 4 	f: 652.63 	mf: 570.33 	ga0: 0.74 	ga1: 4.50 	ga2: 0.00 	ga3: 0.44 	ga4: 0.00 	ga5: 0.00 	ga6: 0.30 	ga7: 0.00 	ga8: 0.35 	ga9: 0.00 	ga10: 0.37 	ga11: 0.00 	gb0: 0.50 	gb1: 0.87 	gb2: 0.30 	gb3: 0.94 	gb4: 0.10 	gb5: 0.32 	gb6: 0.83 	gb7: 0.17 	gb8: 0.68 	gb9: 0.49 	gb10: 2.87 	gb11: -0.35 	gb12: -3.18 	gb13: 3.72 	gb14: -2.82 	gb15: 2.58 	gb16: 0.37 	gb17: 2.00 	gb18: 2.18 	gb19: -3.17
			Robot 5 	f: 831.48 	mf: 277.00 	ga0: 1.06 	ga1: 4.52 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.30 	ga8: 0.07 	ga9: 0.00 	ga10: 0.54 	ga11: 0.00 	gb0: 0.87 	gb1: 0.51 	gb2: 0.11 	gb3: 0.88 	gb4: 0.75 	gb5: 0.50 	gb6: 0.56 	gb7: 0.48 	gb8: 0.88 	gb9: 0.31 	gb10: 0.29 	gb11: -0.71 	gb12: -0.66 	gb13: 0.54 	gb14: -0.88 	gb15: -2.26 	gb16: 1.71 	gb17: -0.79 	gb18: -1.79 	gb19: 3.49
