QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.3	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.06 	ga1: 3.01 	ga2: 0.00 	ga3: 0.00 	ga4: 0.44 	ga5: 0.62 	ga6: 0.63 	ga7: 0.23 	ga8: 0.00 	ga9: 0.00 	ga10: 0.23 	ga11: 0.23 	gb0: 0.30 	gb1: 0.82 	gb2: 0.58 	gb3: 0.80 	gb4: 0.87 	gb5: 0.66 	gb6: 0.80 	gb7: 0.56 	gb8: 0.74 	gb9: 0.65 	gb10: 3.10 	gb11: 0.22 	gb12: 0.47 	gb13: -2.37 	gb14: -0.85 	gb15: 2.23 	gb16: 1.93 	gb17: 3.27 	gb18: 2.60 	gb19: -2.44
			Robot 3 	f: -281.59 	mf: 49.00 	ga0: 1.18 	ga1: 2.76 	ga2: 0.32 	ga3: 0.10 	ga4: 0.44 	ga5: 0.19 	ga6: 0.49 	ga7: 0.16 	ga8: 0.00 	ga9: 0.10 	ga10: 0.33 	ga11: 0.35 	gb0: 0.82 	gb1: 0.28 	gb2: 0.31 	gb3: 0.59 	gb4: 0.63 	gb5: 0.46 	gb6: 0.83 	gb7: 0.30 	gb8: 0.56 	gb9: 0.65 	gb10: 0.64 	gb11: 1.62 	gb12: 2.79 	gb13: 1.75 	gb14: 0.10 	gb15: 1.94 	gb16: -0.43 	gb17: -3.82 	gb18: -1.49 	gb19: 1.18
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.55 	ga1: 1.94 	ga2: 0.74 	ga3: 0.27 	ga4: 0.44 	ga5: 0.66 	ga6: 0.51 	ga7: 0.28 	ga8: 0.15 	ga9: 0.00 	ga10: 0.47 	ga11: 0.30 	gb0: 0.12 	gb1: 0.23 	gb2: 0.63 	gb3: 0.36 	gb4: 0.75 	gb5: 0.86 	gb6: 0.52 	gb7: 0.51 	gb8: 0.47 	gb9: 0.60 	gb10: 2.62 	gb11: -0.81 	gb12: 2.22 	gb13: 2.42 	gb14: -3.54 	gb15: 2.12 	gb16: -2.16 	gb17: -3.62 	gb18: 0.12 	gb19: -1.09
			Robot 5 	f: 10.83 	mf: 227.67 	ga0: 1.14 	ga1: 1.63 	ga2: 0.00 	ga3: 0.00 	ga4: 0.68 	ga5: 0.74 	ga6: 0.76 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.36 	ga11: 0.30 	gb0: 0.53 	gb1: 0.82 	gb2: 0.34 	gb3: 0.59 	gb4: 0.60 	gb5: 0.81 	gb6: 0.39 	gb7: 0.52 	gb8: 0.81 	gb9: 0.56 	gb10: 2.52 	gb11: -0.10 	gb12: 3.08 	gb13: 3.25 	gb14: -4.08 	gb15: -2.57 	gb16: -4.39 	gb17: -0.99 	gb18: -0.78 	gb19: 0.33
			Robot 6 	f: 679.08 	mf: 226.33 	ga0: 1.04 	ga1: 5.33 	ga2: 0.13 	ga3: 0.00 	ga4: 0.28 	ga5: 0.74 	ga6: 0.30 	ga7: 0.00 	ga8: 0.00 	ga9: 0.17 	ga10: 0.49 	ga11: 0.59 	gb0: 0.60 	gb1: 0.81 	gb2: 0.84 	gb3: 0.88 	gb4: 0.85 	gb5: 0.30 	gb6: 0.54 	gb7: 0.30 	gb8: 0.21 	gb9: 0.13 	gb10: -2.07 	gb11: -3.79 	gb12: 1.36 	gb13: -3.27 	gb14: -0.05 	gb15: -3.41 	gb16: -2.15 	gb17: 1.38 	gb18: 2.26 	gb19: 2.30
			Robot 7 	f: 224.51 	mf: 75.33 	ga0: 0.70 	ga1: 1.47 	ga2: 0.40 	ga3: 0.00 	ga4: 0.40 	ga5: 0.30 	ga6: 0.30 	ga7: 0.60 	ga8: 0.12 	ga9: 0.00 	ga10: 0.07 	ga11: 0.70 	gb0: 0.20 	gb1: 0.38 	gb2: 0.46 	gb3: 0.23 	gb4: 0.18 	gb5: 0.72 	gb6: 0.19 	gb7: 0.69 	gb8: 0.23 	gb9: 0.20 	gb10: -0.59 	gb11: -3.12 	gb12: 2.50 	gb13: -2.48 	gb14: -1.10 	gb15: -3.70 	gb16: -0.66 	gb17: 1.84 	gb18: -1.73 	gb19: 4.05
			Robot 8 	f: 473.01 	mf: 226.33 	ga0: 1.16 	ga1: 5.40 	ga2: 0.63 	ga3: 0.21 	ga4: 0.72 	ga5: 0.30 	ga6: 0.30 	ga7: 0.00 	ga8: 0.36 	ga9: 0.01 	ga10: 0.26 	ga11: 0.67 	gb0: 0.14 	gb1: 0.24 	gb2: 0.13 	gb3: 0.24 	gb4: 0.74 	gb5: 0.24 	gb6: 0.41 	gb7: 0.68 	gb8: 0.78 	gb9: 0.77 	gb10: 1.64 	gb11: -1.50 	gb12: 0.20 	gb13: -1.31 	gb14: -2.27 	gb15: -0.07 	gb16: 1.65 	gb17: 0.40 	gb18: -2.23 	gb19: -0.98
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.16 	ga1: 3.74 	ga2: 0.00 	ga3: 0.01 	ga4: 0.32 	ga5: 0.48 	ga6: 0.49 	ga7: 0.00 	ga8: 0.00 	ga9: 0.19 	ga10: 0.23 	ga11: 0.19 	gb0: 0.44 	gb1: 0.72 	gb2: 0.45 	gb3: 0.14 	gb4: 0.23 	gb5: 0.66 	gb6: 0.61 	gb7: 0.42 	gb8: 0.35 	gb9: 0.63 	gb10: -3.79 	gb11: 1.05 	gb12: -3.39 	gb13: -2.34 	gb14: -0.48 	gb15: -0.57 	gb16: -2.33 	gb17: -1.88 	gb18: -2.87 	gb19: 1.34
		Population 3
			Robot 0 	f: 136.82 	mf: 79.25 	ga0: 0.90 	ga1: 1.99 	ga2: 0.24 	ga3: 0.02 	ga4: 0.67 	ga5: 0.42 	ga6: 0.52 	ga7: 0.05 	ga8: 0.11 	ga9: 0.02 	ga10: 0.46 	ga11: 0.49 	gb0: 0.46 	gb1: 0.82 	gb2: 0.53 	gb3: 0.24 	gb4: 0.19 	gb5: 0.75 	gb6: 0.53 	gb7: 0.37 	gb8: 0.82 	gb9: 0.85 	gb10: -3.63 	gb11: -2.99 	gb12: 0.61 	gb13: -2.06 	gb14: 3.79 	gb15: 0.37 	gb16: 0.00 	gb17: 2.47 	gb18: -1.22 	gb19: 3.35
