QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.44 	ga1: 6.10 	ga2: 0.19 	ga3: 0.11 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.04 	ga8: 0.10 	ga9: 0.00 	ga10: 0.05 	ga11: 0.00 	gb0: 0.16 	gb1: 0.13 	gb2: 0.42 	gb3: 0.68 	gb4: 0.41 	gb5: 0.53 	gb6: 0.21 	gb7: 0.42 	gb8: 0.44 	gb9: 0.77 	gb10: 1.47 	gb11: -1.02 	gb12: 4.01 	gb13: -3.94 	gb14: -0.63 	gb15: 3.34 	gb16: 1.78 	gb17: -4.21 	gb18: -1.33 	gb19: -0.67
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.19 	ga1: 5.60 	ga2: 0.19 	ga3: 0.49 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.26 	ga11: 0.60 	gb0: 0.57 	gb1: 0.36 	gb2: 0.63 	gb3: 0.31 	gb4: 0.43 	gb5: 0.47 	gb6: 0.58 	gb7: 0.73 	gb8: 0.41 	gb9: 0.48 	gb10: -0.48 	gb11: -0.81 	gb12: 4.02 	gb13: 1.92 	gb14: -3.41 	gb15: -1.69 	gb16: -2.21 	gb17: -0.33 	gb18: 3.52 	gb19: -3.27
			Robot 4 	f: 1558.48 	mf: 519.33 	ga0: 1.52 	ga1: 4.91 	ga2: 0.47 	ga3: 0.82 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.13 	ga11: 0.00 	gb0: 0.62 	gb1: 0.65 	gb2: 0.33 	gb3: 0.47 	gb4: 0.82 	gb5: 0.16 	gb6: 0.32 	gb7: 0.30 	gb8: 0.60 	gb9: 0.52 	gb10: -1.04 	gb11: -0.44 	gb12: 2.85 	gb13: -0.68 	gb14: 0.67 	gb15: -2.41 	gb16: 4.32 	gb17: -3.59 	gb18: 0.48 	gb19: -2.85
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 1.12 	ga1: 2.74 	ga2: 0.19 	ga3: 0.49 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.10 	ga10: 0.05 	ga11: 0.00 	gb0: 0.18 	gb1: 0.53 	gb2: 0.78 	gb3: 0.51 	gb4: 0.72 	gb5: 0.59 	gb6: 0.40 	gb7: 0.29 	gb8: 0.27 	gb9: 0.58 	gb10: 3.52 	gb11: 2.28 	gb12: -2.41 	gb13: 1.35 	gb14: -1.79 	gb15: -3.29 	gb16: 1.57 	gb17: -0.60 	gb18: -3.36 	gb19: 0.30
			Robot 6 	f: 1504.64 	mf: 501.33 	ga0: 1.37 	ga1: 4.52 	ga2: 0.20 	ga3: 0.49 	ga4: 0.00 	ga5: 0.00 	ga6: 0.44 	ga7: 0.00 	ga8: 0.15 	ga9: 0.00 	ga10: 0.05 	ga11: 0.39 	gb0: 0.91 	gb1: 0.27 	gb2: 0.61 	gb3: 0.32 	gb4: 0.86 	gb5: 0.20 	gb6: 0.20 	gb7: 0.25 	gb8: 0.73 	gb9: 0.48 	gb10: -0.47 	gb11: 2.44 	gb12: 1.72 	gb13: 3.25 	gb14: 3.67 	gb15: 0.57 	gb16: -0.99 	gb17: -3.75 	gb18: 1.56 	gb19: -1.32
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.46 	ga1: 5.10 	ga2: 0.19 	ga3: 0.49 	ga4: 0.11 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.09 	ga9: 0.00 	ga10: 0.05 	ga11: 0.00 	gb0: 0.30 	gb1: 0.92 	gb2: 0.32 	gb3: 0.32 	gb4: 0.22 	gb5: 0.36 	gb6: 0.90 	gb7: 0.41 	gb8: 0.43 	gb9: 0.69 	gb10: 1.60 	gb11: -2.57 	gb12: 2.34 	gb13: 0.05 	gb14: 1.90 	gb15: -0.80 	gb16: 4.37 	gb17: 1.77 	gb18: 3.03 	gb19: -1.67
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 1.10 	ga1: 4.84 	ga2: 0.19 	ga3: 0.49 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.05 	ga11: 0.00 	gb0: 0.25 	gb1: 0.60 	gb2: 0.75 	gb3: 0.49 	gb4: 0.18 	gb5: 0.66 	gb6: 0.40 	gb7: 0.70 	gb8: 0.51 	gb9: 0.79 	gb10: 2.26 	gb11: 2.08 	gb12: 2.75 	gb13: -1.93 	gb14: -3.09 	gb15: 0.32 	gb16: -2.18 	gb17: -0.91 	gb18: 0.87 	gb19: 1.50
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 1.32 	ga1: 5.58 	ga2: 0.19 	ga3: 0.49 	ga4: 0.00 	ga5: 0.00 	ga6: 0.38 	ga7: 0.33 	ga8: 0.00 	ga9: 0.00 	ga10: 0.05 	ga11: 0.00 	gb0: 0.32 	gb1: 0.67 	gb2: 0.65 	gb3: 0.19 	gb4: 0.97 	gb5: 0.65 	gb6: 0.16 	gb7: 0.75 	gb8: 0.38 	gb9: 0.25 	gb10: -3.48 	gb11: -2.98 	gb12: 1.71 	gb13: 0.31 	gb14: 3.26 	gb15: -1.75 	gb16: 0.90 	gb17: 2.52 	gb18: -0.05 	gb19: -3.94
		Population 3
			Robot 0 	f: 1030.15 	mf: 272.00 	ga0: 1.53 	ga1: 5.00 	ga2: 0.30 	ga3: 0.30 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.20 	ga9: 0.00 	ga10: 0.09 	ga11: 0.00 	gb0: 0.79 	gb1: 0.69 	gb2: 0.34 	gb3: 0.68 	gb4: 0.32 	gb5: 0.14 	gb6: 0.61 	gb7: 0.28 	gb8: 0.87 	gb9: 0.15 	gb10: -2.67 	gb11: -0.81 	gb12: -3.58 	gb13: 3.39 	gb14: 4.06 	gb15: -0.23 	gb16: 3.93 	gb17: -1.28 	gb18: 1.90 	gb19: 2.05
