QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3.54	 mr: 0.9	 nc: 0.25	 nm: 0.17	 bmp: 0.6	 cc: 2.56
	Repetition 0
		Population 0
			Robot 3 	f: -37.26 	ga0: -9.41 	ga1: 2.62 	ga2: 0.67 	ga3: 0.57 	ga4: 0.27 	ga5: 0.38 	ga6: 0.43 	gb0: -8.71 	gb1: 1.72 	gb2: 0.53 	gb3: 0.37 	gb4: 0.11 	gb5: 0.38 	gb6: 0.33 	gb7: -0.00 	gb8: 0.05 	gb9: -0.02
			Robot 4 	f: -595.31 	ga0: -9.54 	ga1: -0.95 	ga2: 0.36 	ga3: 0.26 	ga4: 0.50 	ga5: 0.74 	ga6: 0.65 	gb0: -9.02 	gb1: -0.85 	gb2: 0.46 	gb3: 0.20 	gb4: 0.52 	gb5: 0.51 	gb6: 0.48 	gb7: 0.07 	gb8: -0.06 	gb9: -0.03
			Robot 5 	f: -619.89 	ga0: -8.74 	ga1: -0.27 	ga2: 0.46 	ga3: 0.24 	ga4: 0.44 	ga5: 0.66 	ga6: 0.59 	gb0: -8.32 	gb1: -0.18 	gb2: 0.35 	gb3: 0.21 	gb4: 0.41 	gb5: 0.53 	gb6: 0.50 	gb7: -0.03 	gb8: -0.01 	gb9: -0.12
			Robot 6 	f: 273.78 	ga0: -9.52 	ga1: -2.83 	ga2: 0.69 	ga3: 0.31 	ga4: 0.43 	ga5: 0.74 	ga6: 0.54 	gb0: -8.86 	gb1: -2.63 	gb2: 0.69 	gb3: 0.13 	gb4: 0.37 	gb5: 0.57 	gb6: 0.54 	gb7: 0.06 	gb8: -0.09 	gb9: 0.05
			Robot 7 	f: 40.13 	ga0: -8.27 	ga1: 1.18 	ga2: 0.71 	ga3: 0.50 	ga4: 0.18 	ga5: 0.73 	ga6: 0.40 	gb0: -8.10 	gb1: 0.61 	gb2: 0.74 	gb3: 0.48 	gb4: 0.19 	gb5: 0.63 	gb6: 0.37 	gb7: -0.11 	gb8: 0.12 	gb9: 0.07
			Robot 8 	f: 154.05 	ga0: -8.77 	ga1: -2.07 	ga2: 0.65 	ga3: 0.37 	ga4: 0.41 	ga5: 0.67 	ga6: 0.44 	gb0: -8.46 	gb1: -1.85 	gb2: 0.49 	gb3: 0.37 	gb4: 0.29 	gb5: 0.75 	gb6: 0.34 	gb7: -0.07 	gb8: 0.11 	gb9: -0.19
			Robot 9 	f: 531.15 	ga0: -7.96 	ga1: -2.44 	ga2: 0.34 	ga3: 0.19 	ga4: 0.11 	ga5: 0.45 	ga6: 0.33 	gb0: -6.81 	gb1: -1.56 	gb2: 0.30 	gb3: 0.18 	gb4: 0.13 	gb5: 0.44 	gb6: 0.39 	gb7: -0.21 	gb8: 0.04 	gb9: -0.23
			Robot 10 	f: -530.17 	ga0: -8.82 	ga1: -1.18 	ga2: 0.37 	ga3: 0.42 	ga4: 0.42 	ga5: 0.37 	ga6: 0.66 	gb0: -8.30 	gb1: -1.14 	gb2: 0.43 	gb3: 0.33 	gb4: 0.25 	gb5: 0.36 	gb6: 0.62 	gb7: 0.04 	gb8: -0.02 	gb9: 0.03
			Robot 11 	f: 140.79 	ga0: -9.52 	ga1: -2.73 	ga2: 0.35 	ga3: 0.27 	ga4: 0.27 	ga5: 0.62 	ga6: 0.67 	gb0: -9.03 	gb1: -2.47 	gb2: 0.25 	gb3: 0.16 	gb4: 0.25 	gb5: 0.58 	gb6: 0.47 	gb7: 0.04 	gb8: -0.04 	gb9: -0.13
			Robot 12 	f: -188.94 	ga0: -9.54 	ga1: -2.57 	ga2: 0.44 	ga3: 0.47 	ga4: 0.18 	ga5: 0.52 	ga6: 0.53 	gb0: -8.96 	gb1: -1.97 	gb2: 0.29 	gb3: 0.31 	gb4: 0.17 	gb5: 0.54 	gb6: 0.46 	gb7: -0.08 	gb8: 0.00 	gb9: -0.03
