QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 120
PointsCollision: -150
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 2
	Repetition 0
		Population 0
			Robot 8 	f: 0.00 	mf: 153.00
			Robot 9 	f: 12.36 	mf: -146.40
		Population 19
			Robot 0 	f: 409.57 	mf: 307.40
			Robot 1 	f: 2.82 	mf: 52.40
			Robot 2 	f: 0.00 	mf: 56.60
			Robot 3 	f: 0.00 	mf: 74.00
			Robot 4 	f: 0.00 	mf: 110.40
			Robot 5 	f: 323.94 	mf: -133.40
			Robot 6 	f: 0.00 	mf: 9.20
			Robot 7 	f: 246.02 	mf: 54.00
			Robot 8 	f: 416.33 	mf: 236.20
			Robot 9 	f: 0.32 	mf: -146.40
		Population 20
			Robot 0 	f: 293.28 	mf: 299.00
			Robot 1 	f: 265.75 	mf: 105.40
			Robot 2 	f: 372.43 	mf: 129.00
			Robot 3 	f: 0.64 	mf: 74.00
			Robot 4 	f: 364.40 	mf: 132.60
			Robot 5 	f: 4.48 	mf: -132.80
			Robot 6 	f: 383.52 	mf: 83.80
			Robot 7 	f: 28.31 	mf: 56.00
			Robot 8 	f: 0.00 	mf: 160.60
			Robot 9 	f: 380.36 	mf: -149.40
		Population 21
			Robot 0 	f: 293.13 	mf: 280.60
			Robot 1 	f: 363.13 	mf: 178.00
			Robot 2 	f: 8.43 	mf: 126.00
			Robot 3 	f: 16.04 	mf: 70.40
			Robot 4 	f: 1.60 	mf: 128.60
			Robot 5 	f: 0.00 	mf: 169.20
			Robot 6 	f: 0.00 	mf: 81.60
			Robot 7 	f: 0.00 	mf: 55.60
			Robot 8 	f: 2.24 	mf: 83.60
			Robot 9 	f: 0.00 	mf: 152.60
		Population 22
			Robot 0 	f: 304.89 	mf: 340.20
			Robot 1 	f: 383.76 	mf: 253.80
			Robot 2 	f: 4.58 	mf: 77.00
			Robot 3 	f: 2.67 	mf: 70.00
			Robot 4 	f: 0.00 	mf: 73.80
			Robot 5 	f: 0.00 	mf: 119.20
			Robot 6 	f: 0.00 	mf: 77.40
			Robot 7 	f: 8.64 	mf: 57.20
			Robot 8 	f: 13.08 	mf: 86.20
			Robot 9 	f: 5.77 	mf: 79.40
		Population 23
			Robot 0 	f: 242.13 	mf: 308.20
			Robot 1 	f: 52.74 	mf: 213.00
			Robot 2 	f: 210.57 	mf: 118.80
			Robot 3 	f: 136.10 	mf: 30.80
			Robot 4 	f: 6.26 	mf: 74.20
			Robot 5 	f: 74.54 	mf: 80.20
			Robot 6 	f: 216.06 	mf: 119.80
			Robot 7 	f: 12.92 	mf: 58.80
			Robot 8 	f: 169.14 	mf: 120.00
			Robot 9 	f: 223.23 	mf: 121.60
		Population 24
			Robot 0 	f: 0.00 	mf: 226.40
			Robot 1 	f: 212.53 	mf: 255.00
			Robot 2 	f: 0.00 	mf: 118.80
			Robot 3 	f: 188.95 	mf: 68.40
			Robot 4 	f: 1.12 	mf: 74.40
			Robot 5 	f: 309.17 	mf: 77.40
			Robot 6 	f: 0.00 	mf: 119.80
			Robot 7 	f: 0.00 	mf: 9.60
			Robot 8 	f: 318.41 	mf: 100.40
			Robot 9 	f: 13.15 	mf: 124.20
		Population 25
			Robot 0 	f: 329.51 	mf: 233.60
			Robot 1 	f: 0.00 	mf: 202.00
			Robot 2 	f: 0.00 	mf: 44.40
			Robot 3 	f: 283.42 	mf: 125.00
			Robot 4 	f: 0.96 	mf: 1.60
			Robot 5 	f: 260.80 	mf: 128.60
			Robot 6 	f: 0.00 	mf: 43.20
			Robot 7 	f: 20.05 	mf: 8.00
			Robot 8 	f: 234.88 	mf: 147.20
			Robot 9 	f: 282.28 	mf: 104.60
		Population 26
			Robot 0 	f: 140.67 	mf: 203.00
			Robot 1 	f: 0.00 	mf: 129.40
