QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 10 	f: -593.12 	mf: -296.50 	ga0: -2.34 	ga1: 1.92 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -1.94 	gb1: 1.39 	gb2: -0.35 	gb3: -0.22 	gb4: -0.11 	gb5: 0.40 	gb6: 1.76 	gb7: 0.20 	gb8: 1.63 	gb9: 0.67
			Robot 11 	f: 0.00 	mf: 0.00 	ga0: 0.10 	ga1: 1.68 	ga2: 0.11 	ga3: 0.00 	ga4: 0.21 	ga5: 0.00 	ga6: 0.12 	gb0: 0.05 	gb1: 1.12 	gb2: -0.31 	gb3: -0.17 	gb4: 0.18 	gb5: 0.58 	gb6: 1.70 	gb7: -0.09 	gb8: 1.61 	gb9: 0.48
			Robot 12 	f: -596.75 	mf: -298.00 	ga0: -2.19 	ga1: 3.07 	ga2: 0.00 	ga3: 0.12 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -1.82 	gb1: 2.34 	gb2: -0.13 	gb3: -0.09 	gb4: -0.03 	gb5: 0.38 	gb6: 1.57 	gb7: 0.12 	gb8: 1.48 	gb9: 0.18
			Robot 13 	f: 0.00 	mf: 0.00 	ga0: -4.45 	ga1: 2.35 	ga2: 0.08 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.07 	gb0: -2.40 	gb1: 1.56 	gb2: -0.11 	gb3: -0.16 	gb4: 0.06 	gb5: 0.14 	gb6: 1.35 	gb7: 0.12 	gb8: 1.25 	gb9: 0.66
			Robot 14 	f: 0.00 	mf: 0.00 	ga0: 0.06 	ga1: 1.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.41 	gb1: 0.54 	gb2: -0.84 	gb3: -0.37 	gb4: -0.01 	gb5: 1.30 	gb6: 4.87 	gb7: -0.33 	gb8: 4.78 	gb9: 1.69
		Population 2
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.11 	ga1: 1.42 	ga2: 0.12 	ga3: 0.00 	ga4: 0.01 	ga5: 0.00 	ga6: 0.03 	gb0: -0.07 	gb1: 0.97 	gb2: -0.12 	gb3: -0.10 	gb4: 0.09 	gb5: 0.52 	gb6: 1.54 	gb7: -0.09 	gb8: 1.65 	gb9: 0.54
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.11 	ga1: 2.28 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.12 	gb0: -0.09 	gb1: 1.76 	gb2: -0.20 	gb3: -0.06 	gb4: -0.05 	gb5: 0.36 	gb6: 1.56 	gb7: -0.19 	gb8: 1.64 	gb9: 0.51
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.12 	ga1: 2.36 	ga2: 0.20 	ga3: 0.00 	ga4: 0.00 	ga5: 0.05 	ga6: 0.00 	gb0: -0.06 	gb1: 1.84 	gb2: -0.07 	gb3: -0.07 	gb4: 0.04 	gb5: 0.41 	gb6: 1.58 	gb7: 0.06 	gb8: 1.47 	gb9: 0.56
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.10 	ga1: 0.61 	ga2: 0.22 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.05 	gb1: 0.57 	gb2: -0.22 	gb3: -0.15 	gb4: -0.11 	gb5: 0.36 	gb6: 1.54 	gb7: -0.04 	gb8: 1.47 	gb9: 0.63
			Robot 4 	f: -257.02 	mf: -278.00 	ga0: -1.14 	ga1: 2.22 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -1.11 	gb1: 1.69 	gb2: -0.30 	gb3: -0.13 	gb4: -0.04 	gb5: 0.55 	gb6: 1.52 	gb7: -0.15 	gb8: 1.71 	gb9: 0.46
			Robot 5 	f: -590.23 	mf: -196.67 	ga0: -2.19 	ga1: 2.66 	ga2: 0.00 	ga3: 0.23 	ga4: 0.03 	ga5: 0.00 	ga6: 0.00 	gb0: -1.76 	gb1: 2.21 	gb2: -0.21 	gb3: -0.06 	gb4: -0.10 	gb5: 0.49 	gb6: 1.55 	gb7: -0.02 	gb8: 1.59 	gb9: 0.39
			Robot 6 	f: -590.47 	mf: -196.67 	ga0: -2.45 	ga1: 1.66 	ga2: 0.00 	ga3: 0.00 	ga4: 0.02 	ga5: 0.00 	ga6: 0.08 	gb0: -2.01 	gb1: 1.30 	gb2: -0.34 	gb3: -0.21 	gb4: 0.07 	gb5: 0.38 	gb6: 1.67 	gb7: -0.07 	gb8: 1.42 	gb9: 0.59
			Robot 7 	f: 1.50 	mf: 0.33 	ga0: 0.11 	ga1: 1.33 	ga2: 0.00 	ga3: 0.00 	ga4: 0.09 	ga5: 0.00 	ga6: 0.32 	gb0: -0.09 	gb1: 0.99 	gb2: -0.43 	gb3: 0.02 	gb4: -0.09 	gb5: 0.42 	gb6: 1.91 	gb7: -0.28 	gb8: 1.25 	gb9: 0.71
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.14 	ga1: 1.94 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.10 	gb0: 0.03 	gb1: 1.44 	gb2: -0.34 	gb3: -0.14 	gb4: 0.05 	gb5: 0.40 	gb6: 1.67 	gb7: -0.16 	gb8: 1.60 	gb9: 0.44
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.12 	ga1: 2.41 	ga2: 0.00 	ga3: 0.04 	ga4: 0.11 	ga5: 0.00 	ga6: 0.02 	gb0: -0.09 	gb1: 1.87 	gb2: -0.25 	gb3: -0.13 	gb4: 0.16 	gb5: 0.44 	gb6: 1.60 	gb7: -0.25 	gb8: 1.58 	gb9: 0.62
			Robot 10 	f: -541.86 	mf: -378.00 	ga0: -5.07 	ga1: -0.59 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -3.21 	gb1: 0.13 	gb2: -0.29 	gb3: -0.18 	gb4: -0.07 	gb5: 0.44 	gb6: 1.56 	gb7: 0.03 	gb8: 1.55 	gb9: 0.69
			Robot 11 	f: 0.00 	mf: 0.00 	ga0: 0.08 	ga1: 1.69 	ga2: 0.06 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.06 	gb0: 0.02 	gb1: 1.30 	gb2: -0.17 	gb3: -0.12 	gb4: 0.02 	gb5: 0.55 	gb6: 1.73 	gb7: -0.09 	gb8: 1.60 	gb9: 0.59
			Robot 12 	f: -368.05 	mf: -321.33 	ga0: -5.53 	ga1: 2.39 	ga2: 0.00 	ga3: 0.06 	ga4: 0.00 	ga5: 0.12 	ga6: 0.00 	gb0: -3.34 	gb1: 1.89 	gb2: -0.28 	gb3: -0.10 	gb4: -0.04 	gb5: 0.44 	gb6: 1.57 	gb7: -0.08 	gb8: 1.57 	gb9: 0.47
			Robot 13 	f: -476.95 	mf: -158.67 	ga0: -2.19 	ga1: 2.03 	ga2: 0.15 	ga3: 0.00 	ga4: 0.15 	ga5: 0.00 	ga6: 0.04 	gb0: -1.73 	gb1: 1.54 	gb2: -0.25 	gb3: -0.08 	gb4: 0.12 	gb5: 0.27 	gb6: 1.52 	gb7: 0.03 	gb8: 1.45 	gb9: 0.50
			Robot 14 	f: 0.00 	mf: 0.00 	ga0: 0.06 	ga1: 1.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.41 	gb1: 0.54 	gb2: -0.84 	gb3: -0.37 	gb4: -0.01 	gb5: 1.30 	gb6: 4.87 	gb7: -0.33 	gb8: 4.78 	gb9: 1.69
		Population 3
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.11 	ga1: 0.19 	ga2: 0.09 	ga3: 0.00 	ga4: 0.05 	ga5: 0.09 	ga6: 0.18 	gb0: -0.01 	gb1: 0.58 	gb2: -0.05 	gb3: -0.02 	gb4: 0.08 	gb5: 0.22 	gb6: 0.91 	gb7: -0.13 	gb8: 0.62 	gb9: 0.37
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.11 	ga1: 1.80 	ga2: 0.12 	ga3: 0.00 	ga4: 0.05 	ga5: 0.00 	ga6: 0.22 	gb0: -0.02 	gb1: 1.60 	gb2: -0.18 	gb3: -0.03 	gb4: 0.02 	gb5: 0.13 	gb6: 1.06 	gb7: -0.10 	gb8: 0.65 	gb9: 0.37
