QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 6.86	 mr: 0.58	 nc: 0.6	 nm: 0.59	 bmp: 0.62	 cc: 0.03
	Repetition 0
		Population 0
			Robot 5 	f: 319.11 	mf: 285.58
			Robot 6 	f: 189.43 	mf: 354.74
			Robot 7 	f: 464.95 	mf: 461.71
			Robot 8 	f: 279.43 	mf: 365.89
			Robot 9 	f: 470.63 	mf: 393.90
		Population 26
			Robot 0 	f: 448.74 	mf: 463.65
			Robot 1 	f: 436.74 	mf: 452.83
			Robot 2 	f: 436.29 	mf: 442.08
			Robot 3 	f: 131.31 	mf: 394.87
			Robot 4 	f: 479.03 	mf: 405.72
			Robot 5 	f: 317.32 	mf: 269.15
			Robot 6 	f: 302.28 	mf: 331.64
			Robot 7 	f: 415.64 	mf: 453.22
			Robot 8 	f: 144.61 	mf: 334.94
			Robot 9 	f: 493.91 	mf: 421.91
		Population 27
			Robot 0 	f: 373.15 	mf: 442.94
			Robot 1 	f: 445.43 	mf: 445.98
			Robot 2 	f: 430.33 	mf: 430.72
			Robot 3 	f: 272.92 	mf: 369.53
			Robot 4 	f: 507.07 	mf: 454.70
			Robot 5 	f: 398.60 	mf: 292.73
			Robot 6 	f: 379.22 	mf: 331.33
			Robot 7 	f: 423.18 	mf: 445.91
			Robot 8 	f: 399.47 	mf: 342.28
			Robot 9 	f: 394.88 	mf: 436.32
		Population 28
			Robot 0 	f: 453.39 	mf: 438.66
			Robot 1 	f: 474.12 	mf: 442.09
			Robot 2 	f: 291.93 	mf: 398.89
			Robot 3 	f: 486.66 	mf: 367.54
			Robot 4 	f: 501.65 	mf: 481.10
			Robot 5 	f: 161.04 	mf: 265.84
			Robot 6 	f: 455.41 	mf: 332.06
			Robot 7 	f: 478.58 	mf: 446.27
			Robot 8 	f: 397.92 	mf: 349.58
			Robot 9 	f: 349.97 	mf: 433.36
		Population 29
			Robot 0 	f: 439.33 	mf: 430.19
			Robot 1 	f: 423.91 	mf: 430.94
			Robot 2 	f: 321.22 	mf: 370.46
			Robot 3 	f: 488.59 	mf: 366.20
			Robot 4 	f: 405.48 	mf: 476.77
			Robot 5 	f: 214.20 	mf: 292.14
			Robot 6 	f: 396.19 	mf: 348.89
			Robot 7 	f: 452.69 	mf: 448.97
			Robot 8 	f: 478.30 	mf: 358.89
			Robot 9 	f: 375.12 	mf: 425.55
		Population 30
			Robot 0 	f: 512.57 	mf: 445.43
			Robot 1 	f: 458.41 	mf: 444.14
			Robot 2 	f: 408.00 	mf: 361.37
			Robot 3 	f: 502.23 	mf: 392.13
			Robot 4 	f: 286.52 	mf: 447.44
			Robot 5 	f: 365.69 	mf: 295.99
			Robot 6 	f: 322.45 	mf: 340.83
			Robot 7 	f: 536.09 	mf: 461.86
			Robot 8 	f: 447.52 	mf: 357.87
			Robot 9 	f: 341.91 	mf: 404.40
		Population 31
			Robot 0 	f: 433.12 	mf: 443.38
			Robot 1 	f: 328.07 	mf: 427.78
			Robot 2 	f: 438.72 	mf: 387.75
			Robot 3 	f: 420.01 	mf: 383.62
			Robot 4 	f: 246.90 	mf: 404.44
			Robot 5 	f: 444.57 	mf: 316.90
			Robot 6 	f: 434.31 	mf: 381.64
			Robot 7 	f: 461.02 	mf: 461.20
			Robot 8 	f: 371.36 	mf: 373.19
			Robot 9 	f: 419.31 	mf: 395.85
		Population 32
			Robot 0 	f: 533.79 	mf: 457.56
			Robot 1 	f: 413.50 	mf: 423.91
			Robot 2 	f: 273.00 	mf: 360.53
			Robot 3 	f: 401.01 	mf: 428.57
			Robot 4 	f: 460.01 	mf: 401.27
			Robot 5 	f: -56.97 	mf: 254.52
			Robot 6 	f: 366.63 	mf: 392.37
			Robot 7 	f: 522.09 	mf: 478.94
			Robot 8 	f: 382.21 	mf: 412.79
			Robot 9 	f: 433.72 	mf: 385.82
		Population 33
			Robot 0 	f: 527.48 	mf: 483.28
			Robot 1 	f: 394.42 	mf: 415.40
			Robot 2 	f: 514.64 	mf: 374.58
			Robot 3 	f: 478.20 	mf: 462.78
			Robot 4 	f: 362.44 	mf: 377.17
			Robot 5 	f: 254.84 	mf: 230.56
			Robot 6 	f: 386.79 	mf: 393.63
			Robot 7 	f: 388.48 	mf: 473.16
			Robot 8 	f: 480.44 	mf: 426.29
			Robot 9 	f: 382.34 	mf: 383.73
		Population 34
			Robot 0 	f: 495.84 	mf: 490.35
			Robot 1 	f: 345.58 	mf: 393.98
			Robot 2 	f: 353.15 	mf: 384.79
			Robot 3 	f: 287.10 	mf: 429.52
			Robot 4 	f: 351.49 	mf: 352.14
			Robot 5 	f: 363.60 	mf: 264.32
			Robot 6 	f: 464.12 	mf: 395.08
			Robot 7 	f: 536.01 	mf: 482.73
			Robot 8 	f: 527.10 	mf: 447.82
			Robot 9 	f: 475.52 	mf: 404.65
		Population 35
			Robot 0 	f: 531.63 	mf: 505.74
			Robot 1 	f: 478.19 	mf: 403.03
			Robot 2 	f: 510.69 	mf: 416.37
			Robot 3 	f: 428.85 	mf: 419.57
			Robot 4 	f: 401.59 	mf: 351.49
			Robot 5 	f: 508.47 	mf: 313.37
			Robot 6 	f: 468.04 	mf: 407.06
			Robot 7 	f: 522.07 	mf: 494.29
			Robot 8 	f: 484.35 	mf: 448.83
			Robot 9 	f: 356.47 	mf: 401.55
		Population 36
			Robot 0 	f: 502.20 	mf: 504.01
			Robot 1 	f: 446.97 	mf: 401.12
			Robot 2 	f: 172.91 	mf: 377.18
			Robot 3 	f: 210.85 	mf: 371.00
			Robot 4 	f: 423.02 	mf: 374.24
			Robot 5 	f: 426.08 	mf: 323.43
			Robot 6 	f: 417.22 	mf: 422.85
			Robot 7 	f: 328.64 	mf: 459.72
			Robot 8 	f: 392.90 	mf: 439.73
			Robot 9 	f: 142.26 	mf: 368.27
		Population 37
			Robot 0 	f: 423.75 	mf: 502.45
			Robot 1 	f: 267.97 	mf: 391.11
			Robot 2 	f: 404.07 	mf: 371.41
			Robot 3 	f: 484.70 	mf: 381.79
			Robot 4 	f: 491.98 	mf: 415.09
			Robot 5 	f: 49.09 	mf: 257.52
			Robot 6 	f: 436.29 	mf: 423.18
			Robot 7 	f: 509.42 	mf: 467.79
			Robot 8 	f: 370.84 	mf: 439.64
			Robot 9 	f: 419.53 	mf: 368.31
		Population 38
			Robot 0 	f: 520.82 	mf: 500.29
			Robot 1 	f: 403.42 	mf: 389.43
