QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 6000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.3	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
		Population 2
			Robot 0 	f: 566.45 	mf: 2073.33 	ga0: 1.54 	ga1: 2.70 	ga2: 0.00 	ga3: 0.30 	ga4: 0.00 	ga5: 0.65 	ga6: 0.10 	ga7: 0.58 	ga8: 0.38 	ga9: 0.38 	ga10: 0.12 	ga11: 0.00 	gb0: 0.25 	gb1: 0.74 	gb2: 0.76 	gb3: 0.31 	gb4: 0.59 	gb5: 0.95 	gb6: 0.67 	gb7: 0.82 	gb8: 0.31 	gb9: 0.65 	gb10: 3.41 	gb11: -1.11 	gb12: -3.91 	gb13: -1.61 	gb14: 3.38 	gb15: -2.86 	gb16: 2.52 	gb17: 0.23 	gb18: -0.81 	gb19: -2.42
			Robot 1 	f: 566.45 	mf: 2073.33 	ga0: 1.07 	ga1: 2.88 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.11 	ga6: 0.19 	ga7: 0.17 	ga8: 0.28 	ga9: 0.32 	ga10: 0.18 	ga11: 0.27 	gb0: 0.73 	gb1: 0.51 	gb2: 0.34 	gb3: 0.37 	gb4: 0.79 	gb5: 0.26 	gb6: 0.52 	gb7: 0.50 	gb8: 0.68 	gb9: 0.56 	gb10: -0.97 	gb11: -1.92 	gb12: 1.91 	gb13: 1.97 	gb14: -1.76 	gb15: -0.58 	gb16: -2.14 	gb17: 2.27 	gb18: -2.41 	gb19: 2.01
			Robot 2 	f: 1510.79 	mf: 1945.00 	ga0: 0.87 	ga1: 3.22 	ga2: 0.00 	ga3: 0.00 	ga4: 0.37 	ga5: 0.00 	ga6: 0.06 	ga7: 0.07 	ga8: 0.46 	ga9: 0.59 	ga10: 0.19 	ga11: 0.07 	gb0: 0.32 	gb1: 0.52 	gb2: 0.81 	gb3: 0.29 	gb4: 0.39 	gb5: 0.54 	gb6: 0.19 	gb7: 0.54 	gb8: 0.41 	gb9: 0.48 	gb10: -2.30 	gb11: 0.80 	gb12: -1.33 	gb13: -0.34 	gb14: -2.00 	gb15: -0.20 	gb16: 0.71 	gb17: 0.31 	gb18: -1.43 	gb19: -1.12
			Robot 3 	f: 555.83 	mf: 1979.33 	ga0: 1.27 	ga1: 3.74 	ga2: 0.13 	ga3: 0.00 	ga4: 0.28 	ga5: 0.00 	ga6: 0.05 	ga7: 0.07 	ga8: 0.44 	ga9: 0.28 	ga10: 0.52 	ga11: 0.05 	gb0: 0.35 	gb1: 0.75 	gb2: 0.67 	gb3: 0.59 	gb4: 0.32 	gb5: 0.48 	gb6: 0.74 	gb7: 0.41 	gb8: 0.36 	gb9: 0.82 	gb10: -2.39 	gb11: 3.68 	gb12: -1.85 	gb13: -0.93 	gb14: 2.16 	gb15: 3.64 	gb16: 0.49 	gb17: 2.89 	gb18: 2.12 	gb19: -1.76
			Robot 4 	f: 5427.35 	mf: 1809.00 	ga0: 1.40 	ga1: 3.22 	ga2: 0.06 	ga3: 0.00 	ga4: 0.19 	ga5: 0.08 	ga6: 0.04 	ga7: 0.03 	ga8: 0.27 	ga9: 0.14 	ga10: 0.16 	ga11: 0.18 	gb0: 0.48 	gb1: 0.51 	gb2: 0.42 	gb3: 0.49 	gb4: 0.44 	gb5: 0.38 	gb6: 0.25 	gb7: 0.61 	gb8: 0.33 	gb9: 0.51 	gb10: -0.96 	gb11: -0.91 	gb12: -0.97 	gb13: -0.96 	gb14: 0.31 	gb15: 0.04 	gb16: -1.64 	gb17: -0.19 	gb18: 1.88 	gb19: -0.93
			Robot 5 	f: 4767.13 	mf: 1588.67 	ga0: 0.87 	ga1: 3.22 	ga2: 0.00 	ga3: 0.00 	ga4: 0.37 	ga5: 0.00 	ga6: 0.06 	ga7: 0.07 	ga8: 0.46 	ga9: 0.59 	ga10: 0.19 	ga11: 0.07 	gb0: 0.32 	gb1: 0.52 	gb2: 0.81 	gb3: 0.29 	gb4: 0.39 	gb5: 0.54 	gb6: 0.19 	gb7: 0.54 	gb8: 0.41 	gb9: 0.48 	gb10: -2.30 	gb11: 0.80 	gb12: -1.33 	gb13: -0.34 	gb14: -2.00 	gb15: -0.20 	gb16: 0.71 	gb17: 0.31 	gb18: -1.43 	gb19: -1.12
			Robot 6 	f: -2956.00 	mf: 35.33 	ga0: 1.43 	ga1: 3.74 	ga2: 0.00 	ga3: 0.58 	ga4: 0.74 	ga5: 0.00 	ga6: 0.09 	ga7: 0.14 	ga8: 0.82 	ga9: 0.56 	ga10: 0.21 	ga11: 0.08 	gb0: 0.57 	gb1: 0.95 	gb2: 0.27 	gb3: 0.20 	gb4: 0.71 	gb5: 0.46 	gb6: 0.10 	gb7: 0.38 	gb8: 0.50 	gb9: 0.16 	gb10: -2.14 	gb11: 1.24 	gb12: 3.43 	gb13: -2.58 	gb14: 0.18 	gb15: 2.63 	gb16: -0.85 	gb17: 1.92 	gb18: -2.95 	gb19: 0.08
			Robot 7 	f: -5762.09 	mf: 59.33 	ga0: 1.11 	ga1: 3.74 	ga2: 0.44 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.01 	ga7: 0.00 	ga8: 0.06 	ga9: 0.00 	ga10: 0.62 	ga11: 0.03 	gb0: 0.73 	gb1: 0.11 	gb2: 0.36 	gb3: 0.74 	gb4: 0.46 	gb5: 0.87 	gb6: 0.09 	gb7: 0.21 	gb8: 0.86 	gb9: 0.83 	gb10: -1.34 	gb11: 2.02 	gb12: 0.33 	gb13: 2.31 	gb14: 1.07 	gb15: 1.36 	gb16: 0.04 	gb17: -0.76 	gb18: 2.18 	gb19: 1.17
			Robot 8 	f: -4951.98 	mf: 76.67 	ga0: 1.34 	ga1: 3.90 	ga2: 0.10 	ga3: 0.00 	ga4: 0.28 	ga5: 0.34 	ga6: 0.04 	ga7: 0.05 	ga8: 0.35 	ga9: 0.21 	ga10: 0.15 	ga11: 0.12 	gb0: 0.74 	gb1: 0.12 	gb2: 0.29 	gb3: 0.76 	gb4: 0.17 	gb5: 0.24 	gb6: 0.63 	gb7: 0.26 	gb8: 0.72 	gb9: 0.48 	gb10: -0.34 	gb11: 3.26 	gb12: 0.66 	gb13: -3.45 	gb14: -1.39 	gb15: 1.13 	gb16: 1.39 	gb17: -1.59 	gb18: 1.39 	gb19: -2.73
